"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.127541745022
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.063746322829
01/01/2025;01/11/2024;"Ultimate Music";"China Mainland";"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;2;RUB;0.194776463576
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.031492015440
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;4;RUB;0.542741676506
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.045650784279
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;13;RUB;0.201340937569
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;4;RUB;0.384290196710
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.092765963288
01/01/2025;01/11/2024;"Tencent Kugou";"China Mainland";"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.005997370123
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.042539493047
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;11;RUB;0.533662118436
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.038853113156
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.142420381236
01/02/2025;01/01/2025;"Tencent QQ/CN";"China Mainland";"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.041961329498
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.367767794574
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;7;RUB;0.555386215530
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;10;RUB;0.179213761131
01/01/2025;01/12/2024;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;5;RUB;0.637911026229
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.375828196837
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;7;RUB;0.642947271687
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Clxudboy;24.08;24.08;3617226726453;DG-A08-23-44793;;"Music Release";Stream;1;RUB;0.020229597179
