"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/02/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"Clxudboy, .youngfox";"Кровавая вечеринка";"Кровавая вечеринка";3617052952026;DG-A06-22-19032;;"Music Release";Stream;5;RUB;0.473236542944
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"Clxudboy, .youngfox";"Кровавая вечеринка";"Кровавая вечеринка";3617052952026;DG-A06-22-19032;;"Music Release";Stream;1;RUB;0.104249555720
01/02/2025;01/01/2025;Spotify;Poland;"трэп хаус квэльчиков";"Clxudboy, .youngfox";"Кровавая вечеринка";"Кровавая вечеринка";3617052952026;DG-A06-22-19032;;"Music Release";Stream;10;RUB;0.272265594872
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"Clxudboy, .youngfox";"Кровавая вечеринка";"Кровавая вечеринка";3617052952026;DG-A06-22-19032;;"Music Release";Stream;1;RUB;0.083504251923
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"Clxudboy, .youngfox";"Кровавая вечеринка";"Кровавая вечеринка";3617052952026;DG-A06-22-19032;;"Music Release";Stream;1;RUB;0.047809743923
01/01/2025;01/12/2024;Likee;"Russian Federation";"трэп хаус квэльчиков";"Clxudboy, .youngfox";"Кровавая вечеринка";"Кровавая вечеринка";3617052952026;DG-A06-22-19032;;"Music Release";Stream;2;RUB;0.063111575314
01/01/2025;01/12/2024;Spotify;"United States";"трэп хаус квэльчиков";"Clxudboy, .youngfox";"Кровавая вечеринка";"Кровавая вечеринка";3617052952026;DG-A06-22-19032;;"Music Release";Stream;2;RUB;0.486790637499
01/02/2025;01/01/2025;Spotify;India;"трэп хаус квэльчиков";"Clxudboy, .youngfox";"Кровавая вечеринка";"Кровавая вечеринка";3617052952026;DG-A06-22-19032;;"Music Release";Stream;2;RUB;0.064071586777
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Clxudboy, .youngfox";"Кровавая вечеринка";"Кровавая вечеринка";3617052952026;DG-A06-22-19032;;"Music Release";Stream;8;RUB;0.179445501780
01/01/2025;01/12/2024;Spotify;Spain;"трэп хаус квэльчиков";"Clxudboy, .youngfox";"Кровавая вечеринка";"Кровавая вечеринка";3617052952026;DG-A06-22-19032;;"Music Release";Stream;1;RUB;0.021709456729
01/03/2025;01/03/2025;"YouTube Official Content";"United Kingdom";"трэп хаус квэльчиков";"Clxudboy, .youngfox";"Кровавая вечеринка";"Кровавая вечеринка";3617052952026;DG-A06-22-19032;;"Music Release";Stream;1;RUB;1.250006809051
