"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/01/2025;01/01/2025;"Apple Music";"Czech Republic";thqlabel;DELFAUX;#heavy_mental;"город выбьет голову";5063466226648;RU-A1D-24-77610;;"Music Release";Stream;1;RUB;0.391216906764
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";thqlabel;DELFAUX;#heavy_mental;зубки;5063466226648;RU-A1D-24-77615;;"Music Release";Stream;7;RUB;0.704910079954
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";thqlabel;DELFAUX;#heavy_mental;"ТИПЫ УМИРАЮТ";5063466226648;RU-A1D-24-77620;;"Music Release";Stream;1;RUB;0.100701440030
01/02/2025;01/02/2025;"YouTube Official Content";Germany;thqlabel;DELFAUX;#heavy_mental;"ВРЕМЯ ПОСТРЕЛЯТЬ";5063466226648;RU-A1D-24-77622;;"Music Release";Stream;1;RUB;0.156797320050
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";thqlabel;DELFAUX;#heavy_mental;нахх;5063466226648;RU-A1D-24-77614;;"Music Release";Stream;15;RUB;1.510521600024
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;DELFAUX;#heavy_mental;"ТИПЫ УМИРАЮТ Alternative Version";5063466226648;RU-A1D-24-77625;;"Music Release";Stream;1;RUB;0.004200000000
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;DELFAUX;#heavy_mental;"heavy mental";5063466226648;RU-A1D-24-77621;;"Music Release";Stream;6;RUB;0.025200000000
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";thqlabel;DELFAUX;#heavy_mental;"ВРЕМЯ ПОСТРЕЛЯТЬ";5063466226648;RU-A1D-24-77622;;"Music Release";Stream;4;RUB;0.402805760034
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;DELFAUX;#heavy_mental;мыло;5063466226648;RU-A1D-24-77608;;"Music Release";Stream;26;RUB;0.109200000000
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;DELFAUX;#heavy_mental;никакуся;5063466226648;RU-A1D-24-77609;;"Music Release";Stream;3;RUB;0.012600000000
01/03/2025;01/03/2025;"YouTube Official Content";Brazil;thqlabel;DELFAUX;#heavy_mental;"мы плачем вместе";5063466226648;RU-A1D-24-77613;;"Music Release";Stream;1;RUB;0.125266929864
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";thqlabel;DELFAUX;#heavy_mental;треть;5063466226648;RU-A1D-24-77623;;"Music Release";Stream;1;RUB;0.100701440030
