"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/03/2025;"YouTube Official Content";Estonia;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.152911569414
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;1.118581372331
01/01/2025;01/12/2024;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;53;RUB;0.041277106804
01/02/2025;01/02/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;12;RUB;1.177970079909
01/01/2025;01/12/2024;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.127582205246
01/02/2025;01/02/2025;"YouTube Official Content";Denmark;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.223705714098
01/03/2025;01/02/2025;Yandex;Belarus;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.003258713412
01/02/2025;01/01/2025;"UMA VK Clips";Belarus;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;2;RUB;0.001560516954
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.621526656438
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.411276556541
01/03/2025;01/02/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;12;RUB;1.349968733882
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.501301752156
01/01/2025;01/12/2024;"UMA VK Clips";Ukraine;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;2;RUB;0.001557626683
01/02/2025;01/01/2025;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.004200000000
01/02/2025;01/02/2025;"Apple Music";Poland;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;2;RUB;0.311706951355
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;1.299899701089
01/03/2025;01/02/2025;"UMA VK Clips";"Moldova, Republic Of";"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.000753403671
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;188;RUB;4.989592222957
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.803453822281
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;160;RUB;5.933287510849
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;209;RUB;5.035576577849
01/03/2025;01/02/2025;Soundcloud;France;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.206809252797
01/02/2025;01/01/2025;"UMA (Vkontakte)";Ukraine;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;4;RUB;0.016800000000
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.462465719879
01/01/2025;01/12/2024;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;3;RUB;0.012600000042
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;227;RUB;4.892039382841
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.951766386950
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;1;RUB;0.791242178715
01/02/2025;01/01/2025;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;48;RUB;0.037452406666
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, UMSY";"кесарево онлайн*";"М0Р0З 0БЛИЗНУЛ 0kНО, МНЕ 3Т0 НРАВNТСЯ";3617053445619;DG-A06-22-96608;;"Music Release";Stream;4;RUB;0.542741676506
