"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";DE$TROFIK;шум;шум;3617059464294;FR-X45-23-24998;;"Music Release";Stream;1;RUB;0.016700850370
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";DE$TROFIK;Баллончик;Баллончик;3617051743670;FR-X87-22-36121;;"Music Release";Stream;1;RUB;0.046303393603
01/01/2025;01/12/2024;Yandex;Uzbekistan;"трэп хаус квэльчиков";DE$TROFIK;"ПОВОРОТ НАПРАВО";"ПОВОРОТ НАПРАВО";3617055753132;FR-2X4-23-33307;;"Music Release";Stream;1;RUB;0.017581382469
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DE$TROFIK;"ПОВОРОТ НАПРАВО";"ПОВОРОТ НАПРАВО";3617055753132;FR-2X4-23-33307;;"Music Release";Stream;10;RUB;0.197542089480
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";DE$TROFIK;Баллончик;Баллончик;3617051743670;FR-X87-22-36121;;"Music Release";Stream;1;RUB;0.009347236651
01/03/2025;01/02/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";DE$TROFIK;"ПОВОРОТ НАПРАВО";"ПОВОРОТ НАПРАВО";3617055753132;FR-2X4-23-33307;;"Music Release";Stream;1;RUB;0.021587041761
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";DE$TROFIK;"ПОВОРОТ НАПРАВО";"ПОВОРОТ НАПРАВО";3617055753132;FR-2X4-23-33307;;"Music Release";Stream;2;RUB;0.008400000000
01/02/2025;01/01/2025;Yandex;Belarus;"трэп хаус квэльчиков";DE$TROFIK;Баллончик;Баллончик;3617051743670;FR-X87-22-36121;;"Music Release";Stream;2;RUB;0.044861375503
01/02/2025;01/02/2025;"YouTube Official Content";"Moldova, Republic Of";"трэп хаус квэльчиков";DE$TROFIK;Ала;Ала;3617050095992;FR-X45-22-38509;;"Music Release";Stream;1;RUB;0.009416935079
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";DE$TROFIK;Баллончик;Баллончик;3617051743670;FR-X87-22-36121;;"Music Release";Stream;5;RUB;0.087906912258
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";DE$TROFIK;Баллончик;Баллончик;3617051743670;FR-X87-22-36121;;"Music Release";Stream;1;RUB;0.070857036522
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";DE$TROFIK;шум;шум;3617059464294;FR-X45-23-24998;;"Music Release";Stream;1;RUB;0.008170177615
