"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/01/2025;01/12/2024;Yandex;Ukraine;"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;1;RUB;0.131003686342
01/02/2025;01/02/2025;"Apple Music";"Russian Federation";"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;11;RUB;1.011917199974
01/02/2025;01/02/2025;"Apple Music";Kazakhstan;"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;1;RUB;0.070329341978
01/01/2025;01/01/2025;"YouTube Official Content";Poland;"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;1;RUB;0.086717403793
01/01/2025;01/12/2024;Yandex;Uzbekistan;"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;1;RUB;0.017581382469
01/01/2025;01/12/2024;"UMA VK MUSIC";"Russian Federation";"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;6;RUB;0.693414883321
01/03/2025;01/11/2024;Yandex;Worldwide;"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;1;RUB;36.917658596314
01/03/2025;01/02/2025;"UMA (Odnoklassniki)";"Russian Federation";"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;1;RUB;0.004200000000
01/01/2025;01/12/2024;Yandex;"Moldova, Republic Of";"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;1;RUB;0.131003686342
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;34;RUB;1.808638720049
01/03/2025;01/02/2025;Yandex;Uzbekistan;"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;1;RUB;0.021587041761
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;1;RUB;0.135685419126
01/03/2025;01/03/2025;"Apple Music";"United States";"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;1;RUB;0.401421453690
01/02/2025;01/01/2025;Yandex;"Russian Federation";"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;332;RUB;7.399447513618
01/02/2025;01/01/2025;Yandex;Belarus;"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;7;RUB;0.157014814067
01/03/2025;01/03/2025;"YouTube Official Content";"United Kingdom";"Million dollar music";"Ecsta, SEMPAI, Wyzzi";Miss;"Куда Несет Дым";3617664702279;DG-A0P-24-51925;;"Music Release";Stream;1;RUB;0.095021671837
