"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/03/2025;"YouTube UGC";Japan;"трэп хаус квэльчиков";EmDzZzIk;"AlmOst Killed";"AlmOst Killed";3617224863655;DG-A06-23-41200;;"Music Release";Stream;23;RUB;0.371548783514
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";EmDzZzIk;"Not My Love";"Not My Love";3617224415793;DG-A06-23-11880;;"Music Release";Stream;1;RUB;0.004200000000
01/02/2025;01/02/2025;"YouTube UGC";Cyprus;"трэп хаус квэльчиков";EmDzZzIk;"AlmOst Killed";"AlmOst Killed";3617224863655;DG-A06-23-41200;;"Music Release";Stream;2;RUB;0.630423732414
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";EmDzZzIk;"AlmOst Killed";"AlmOst Killed";3617224863655;DG-A06-23-41200;;"Music Release";Stream;2;RUB;0.035162764938
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";EmDzZzIk;"Not My Love";"Not My Love";3617224415793;DG-A06-23-11880;;"Music Release";Stream;3;RUB;0.067292063138
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";EmDzZzIk;"AlmOst Killed";"AlmOst Killed";3617224863655;DG-A06-23-41200;;"Music Release";Stream;1;RUB;0.007310389446
01/01/2025;01/01/2025;"YouTube UGC";Poland;"трэп хаус квэльчиков";EmDzZzIk;"AlmOst Killed";"AlmOst Killed";3617224863655;DG-A06-23-41200;;"Music Release";Stream;2;RUB;0.191762221082
01/03/2025;01/03/2025;"YouTube UGC";Ecuador;"трэп хаус квэльчиков";EmDzZzIk;"AlmOst Killed";"AlmOst Killed";3617224863655;DG-A06-23-41200;;"Music Release";Stream;1;RUB;0.021963646820
01/01/2025;01/01/2025;"YouTube UGC";Australia;"трэп хаус квэльчиков";EmDzZzIk;"AlmOst Killed";"AlmOst Killed";3617224863655;DG-A06-23-41200;;"Music Release";Stream;1;RUB;0.276975565170
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";EmDzZzIk;"AlmOst Killed";"AlmOst Killed";3617224863655;DG-A06-23-41200;;"Music Release";Stream;2;RUB;0.008400000000
01/01/2025;01/01/2025;"YouTube UGC";Japan;"трэп хаус квэльчиков";EmDzZzIk;"AlmOst Killed";"AlmOst Killed";3617224863655;DG-A06-23-41200;;"Music Release";Stream;52;RUB;4.882505870247
01/03/2025;01/03/2025;"YouTube UGC";France;"трэп хаус квэльчиков";EmDzZzIk;"AlmOst Killed";"AlmOst Killed";3617224863655;DG-A06-23-41200;;"Music Release";Stream;1;RUB;0.079715534314
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";EmDzZzIk;"Not My Love";"Not My Love";3617224415793;DG-A06-23-11880;;"Music Release";Stream;2;RUB;0.043174083595
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";EmDzZzIk;"AlmOst Killed";"AlmOst Killed";3617224863655;DG-A06-23-41200;;"Music Release";Stream;1;RUB;0.003219963738
