"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;4;RUB;0.016800000000
01/01/2025;01/11/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.293762441549
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.090636932427
01/01/2025;01/12/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.004200000042
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.238221154259
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.084889553937
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.047473459471
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;2;RUB;0.008400000000
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.120103978720
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.164342826616
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;4;RUB;0.070325529790
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.078730042240
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.065361425754
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.036551947083
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;6;RUB;0.134584126354
01/01/2025;01/10/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.302031717942
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;19;RUB;0.391825465549
01/01/2025;01/12/2024;Likee;"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;9;RUB;0.284002088784
01/02/2025;01/01/2025;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.004200000000
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.125256376362
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, Sunlimoon";"My w0rld 1s d3feated";Загружу;3617050858023;FR-X76-22-21137;;"Music Release";Stream;1;RUB;0.092993731262
