"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/01/2025;01/12/2024;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;2;RUB;0.255164410491
01/02/2025;01/01/2025;"Tencent QQ/CN";"China Mainland";"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;8;RUB;0.043613329158
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.014875530302
01/03/2025;01/02/2025;Yandex;Belarus;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.021587041761
01/01/2025;01/12/2024;Likee;"Russian Federation";"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;18;RUB;0.568004177568
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;16;RUB;0.383897344714
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;30;RUB;0.634940659935
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.016700847323
01/02/2025;01/01/2025;Yandex;Belarus;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.022430687713
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.015434463569
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.009347236651
01/03/2025;01/02/2025;"Tencent QQ/CN";"China Mainland";"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;2;RUB;0.048283721566
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.007310389446
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;6;RUB;0.156685419126
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;4;RUB;0.542741676506
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.031492015440
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.018598744915
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;15;RUB;0.296244098716
01/03/2025;01/02/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.021587041761
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;12;RUB;0.259044501425
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;5;RUB;0.087906912258
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.001908913614
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Guess;"На виду";"На виду";3617050613363;FR-X45-22-91743;;"Music Release";Stream;1;RUB;0.008507899189
