"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/02/2025;01/02/2025;"YouTube Official Content";Romania;"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;4;RUB;0.046977664970
01/03/2025;01/03/2025;"YouTube Official Content";Ukraine;"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;1;RUB;0.043201148464
01/02/2025;01/12/2024;Tidal;"United States";"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;1;RUB;1.035303544917
01/01/2025;01/01/2025;"YouTube Official Content";Romania;"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;1;RUB;0.148523154858
01/03/2025;01/02/2025;Yandex;"Russian Federation";"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;14;RUB;0.302218584946
01/03/2025;01/10/2024;Yandex;Worldwide;"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;1;RUB;1.703603087931
01/01/2025;01/12/2024;Yandex;"Russian Federation";"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;44;RUB;0.773580827687
01/03/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;1;RUB;0.354992682064
01/01/2025;01/12/2024;Likee;"Russian Federation";"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;9;RUB;0.284002088784
01/02/2025;01/01/2025;Yandex;"Russian Federation";"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;25;RUB;0.560767192976
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;2;RUB;0.008400000000
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";ILUV;Отпусти;Отпусти;3617664364293;DG-A0P-24-08522;;"Music Release";Stream;2;RUB;0.008400000000
