"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.027390470582
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.076571086906
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.061737857172
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.039365021082
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.066803401554
01/03/2025;01/03/2025;"YouTube Official Content";"United States";"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.015011244274
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.017581382469
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.269681824598
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.029751060529
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;2;RUB;0.044861375503
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.009461158271
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.186944724623
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;3;RUB;0.064761125356
01/03/2025;01/03/2025;"YouTube Official Content";Poland;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;2;RUB;0.103121798742
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.168138951916
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;1;RUB;0.245105345256
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"КВЭЛ, венди";untitled;untitled;3617226725517;DG-A08-23-44656;;"Music Release";Stream;2;RUB;0.008400000000
