"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;9;RUB;0.158232442048
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.021931168265
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.004200000042
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.120891851904
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;17;RUB;0.404504160220
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.084125124138
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.078730042240
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;6;RUB;0.151318103330
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.015936581283
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.032680712914
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.089253183890
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.154662999365
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;2;RUB;0.213040799990
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;6;RUB;0.025200000000
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;6;RUB;0.391471416057
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.001908913614
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.083504251923
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, .youngfox";"Как воспитать героиню";Ехидна;3617052212922;DG-A05-22-10428;;"Music Release";Stream;1;RUB;0.068063187717
