"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;129;RUB;2.608265247276
01/03/2025;01/03/2025;"YouTube Official Content";Netherlands;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.356207414230
01/01/2025;01/12/2024;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;9;RUB;0.844185095934
01/01/2025;01/12/2024;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;2;RUB;0.008400000000
01/02/2025;01/01/2025;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.000780258477
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;1.610673750134
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;1.279050813702
01/01/2025;01/12/2024;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.000778813384
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;1.126855015993
01/03/2025;01/02/2025;"Amazon Music Streaming";Mexico;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.129850077458
01/03/2025;01/02/2025;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.000753403671
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.870974627030
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;116;RUB;2.484777811849
01/01/2025;01/12/2024;"Amazon Music Streaming";Canada;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.305968084463
01/03/2025;01/02/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;8;RUB;0.872597869134
01/02/2025;01/01/2025;"Amazon Music Streaming";"United States";"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.325769466538
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.811757731902
01/02/2025;01/01/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.022430687713
01/03/2025;01/03/2025;"YouTube Official Content";"United States";"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;5;RUB;0.436465561545
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;8;RUB;1.009042957525
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.885995868666
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.613691090472
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.602103292481
01/03/2025;01/03/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, never die";"Re Life";"Кланнад Bonus";3617053015249;DG-A06-22-30168;;"Music Release";Stream;1;RUB;0.073946320005
