"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.064749071280
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.074394983004
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.015744946410
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.107229455868
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;2;RUB;0.008400000000
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;2;RUB;0.131782205288
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.116076833459
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.039841453319
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.016340355082
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.084862406149
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;5;RUB;0.087906912258
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.070857040089
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.018260313771
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.089253183890
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;1;RUB;0.125256376362
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;16;RUB;0.410780226542
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LALLLEK, taida.dmg";"Как воспитать героиню";UWU;3617052212922;DG-A05-22-10427;;"Music Release";Stream;6;RUB;0.082747571530
