"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.322793170887
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;19;RUB;0.387761618671
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;3;RUB;0.245844098716
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.216082504151
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;3;RUB;0.275570838253
01/03/2025;01/02/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;4;RUB;0.454746523589
01/02/2025;01/01/2025;Yandex;Belarus;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.022430687713
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;41;RUB;0.834258984325
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.176688089993
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.367138074130
01/01/2025;01/12/2024;Yandex;Belarus;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.017581382469
01/03/2025;01/02/2025;"Amazon Music Streaming";Mexico;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.022459067454
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.532792466815
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.207175552146
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.438828150845
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.164342826616
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.167008503922
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;4;RUB;0.389860885610
01/02/2025;01/01/2025;"Amazon Music Streaming";Mexico;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.256170337304
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;19;RUB;0.410153793898
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.310466771084
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.004200000042
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"LIXY, ENGY";"кидаю заны";"кидаю заны";3617224127993;DG-A05-23-92400;;"Music Release";Stream;1;RUB;0.307036346345
