"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Mandree;звёзды;звёзды;3617227323156;DG-A09-23-19396;;"Music Release";Stream;1;RUB;0.009299372458
01/03/2025;01/11/2024;Yandex;Worldwide;"Stars Clique";Mandree;Дилемма;"Space Shit";5059487203171;RU-A1H-20-26874;;"Music Release";Stream;1;RUB;0.115758483898
01/03/2025;01/09/2024;Yandex;Worldwide;"Stars Clique";Mandree;GONE;Gone;5059074500096;AE-A0D-19-94162;;"Music Release";Stream;1;RUB;0.008350423625
01/03/2025;01/02/2025;"UMA VK MUSIC";"Russian Federation";"Stars Clique";Mandree;GONE;Колизей;5059074500096;AE-A0D-19-94160;;"Music Release";Stream;1;RUB;0.120822049358
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";Mandree;Дилемма;Саранча;5059487203171;RU-A1H-20-26877;;"Music Release";Stream;1;RUB;0.004200000000
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";Mandree;GONE;"Man Drip";5059074500096;AE-A0D-19-94166;;"Music Release";Stream;4;RUB;0.441061298726
01/03/2025;01/11/2024;Yandex;Worldwide;"Stars Clique";Mandree;Дилемма;"Блеск души";5059487203171;RU-A1H-20-26873;;"Music Release";Stream;1;RUB;0.007717233196
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";"Stars Clique";Mandree;GONE;"Грув Стрит";5059074500096;AE-A0D-19-94161;;"Music Release";Stream;1;RUB;0.106520399995
01/03/2025;01/11/2024;Yandex;Worldwide;"Stars Clique";Mandree;GONE;"Почему я жду Outro";5059074500096;AE-A0D-19-94167;;"Music Release";Stream;1;RUB;0.023151696839
01/02/2025;01/02/2025;"YouTube UGC";Netherlands;"трэп хаус квэльчиков";Mandree;звёзды;звёзды;3617227323156;DG-A09-23-19396;;"Music Release";Stream;1;RUB;0.032332496356
