"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/03/2025;"YouTube UGC";France;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;33;RUB;3.650306192951
01/02/2025;01/02/2025;"YouTube UGC";India;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;1;RUB;0.039090487457
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Nanami;Заново;Заново;3617051480575;FR-X76-22-92717;;"Music Release";Stream;7;RUB;0.157014814067
01/01/2025;01/01/2025;"YouTube UGC";Sweden;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;1;RUB;0.011890869168
01/02/2025;01/02/2025;"YouTube UGC";France;"трэп хаус квэльчиков";Nanami;Заново;Заново;3617051480575;FR-X76-22-92717;;"Music Release";Stream;1;RUB;0.012203751745
01/03/2025;01/03/2025;"YouTube UGC";Switzerland;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;1;RUB;0.015570361881
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Nanami;Заново;Заново;3617051480575;FR-X76-22-92717;;"Music Release";Stream;4;RUB;0.016800000000
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Nanami;"Distant love";"Помоги выбраться";3617053672572;DG-A07-22-38062;;"Music Release";Stream;2;RUB;0.044861375503
01/02/2025;01/02/2025;"YouTube UGC";Denmark;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;3;RUB;2.280167136147
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Nanami;Заново;Заново;3617051480575;FR-X76-22-92717;;"Music Release";Stream;6;RUB;0.551141676506
01/01/2025;01/01/2025;"YouTube UGC";"Czech Republic";"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;8;RUB;2.480718524154
01/01/2025;01/09/2024;NCT;"Viet Nam";"трэп хаус квэльчиков";Nanami;Заново;Заново;3617051480575;FR-X76-22-92717;;"Music Release";Stream;16;RUB;0.297179223114
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Nanami;"Distant love";БОЛЬНО;3617053672572;DG-A07-22-38060;;"Music Release";Stream;1;RUB;0.017015795554
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Nanami;Заново;Заново;3617051480575;FR-X76-22-92717;;"Music Release";Stream;9;RUB;0.769745876496
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Nanami;"Distant love";БОЛЬНО;3617053672572;DG-A07-22-38060;;"Music Release";Stream;1;RUB;0.015746007720
01/02/2025;01/02/2025;"YouTube UGC";Germany;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;10;RUB;2.249185011810
01/01/2025;01/12/2024;Likee;"Russian Federation";"трэп хаус квэльчиков";Nanami;"Distant love";Я;3617053672572;DG-A07-22-38064;;"Music Release";Stream;4;RUB;0.126223150542
01/03/2025;01/03/2025;"YouTube UGC";"United States";"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;12;RUB;1.192878453360
01/01/2025;01/01/2025;"YouTube UGC";Brazil;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;1;RUB;0.112710900138
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Nanami;"Distant love";БОЛЬНО;3617053672572;DG-A07-22-38060;;"Music Release";Stream;1;RUB;0.027390470582
01/01/2025;01/12/2024;Likee;"Russian Federation";"трэп хаус квэльчиков";Nanami;Заново;Заново;3617051480575;FR-X76-22-92717;;"Music Release";Stream;16;RUB;0.504892602254
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Nanami;"Distant love";БОЛЬНО;3617053672572;DG-A07-22-38060;;"Music Release";Stream;1;RUB;0.009347236651
01/01/2025;01/09/2024;NCT;"Viet Nam";"трэп хаус квэльчиков";Nanami;"Distant love";"Не могу";3617053672572;DG-A07-22-38061;;"Music Release";Stream;5;RUB;0.092868507223
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;1;RUB;0.014620778818
01/01/2025;01/01/2025;"YouTube UGC";Ukraine;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;16;RUB;0.659624179970
01/03/2025;01/03/2025;"YouTube UGC";Italy;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;5;RUB;0.136972001174
01/02/2025;01/02/2025;"YouTube UGC";"Czech Republic";"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;2;RUB;0.596269935554
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Nanami;"Distant love";БОЛЬНО;3617053672572;DG-A07-22-38060;;"Music Release";Stream;1;RUB;0.037197493174
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;1;RUB;0.008170177615
01/02/2025;01/02/2025;"YouTube UGC";Ireland;"трэп хаус квэльчиков";Nanami;"Distant love";Прятки;3617053672572;DG-A07-22-38063;;"Music Release";Stream;1;RUB;0.129839559823
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Nanami;"Distant love";БОЛЬНО;3617053672572;DG-A07-22-38060;;"Music Release";Stream;2;RUB;0.008400000000
