"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;1;RUB;0.007437766302
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;1;RUB;0.007310389446
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;1;RUB;0.021587041761
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;2;RUB;0.035162764938
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;1;RUB;0.056083417157
01/03/2025;01/03/2025;"YouTube Official Content";Germany;"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;13;RUB;13.559810145963
01/02/2025;01/02/2025;"YouTube Official Content";Germany;"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;5;RUB;5.082433231968
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;1;RUB;0.016340355082
01/01/2025;01/11/2024;"Ultimate Music";"China Mainland";"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;1;RUB;0.192518721197
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;1;RUB;0.009130156811
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;1;RUB;0.007873005718
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;1;RUB;0.009299372458
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"PLUGG&SAD, клайд";"I'M FVCKNG SWAGING";"I'M FVCKNG SWAGING";3617226817502;DG-A08-23-55498;;"Music Release";Stream;1;RUB;0.008350423625
