"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/10/2024;Yandex;Worldwide;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more Speed Up";3617662399204;DG-A0M-24-14130;;"Music Release";Stream;1;RUB;0.086603047883
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;2;RUB;0.008400000000
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more Speed Up";3617662399204;DG-A0M-24-14130;;"Music Release";Stream;1;RUB;0.004200000000
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;4;RUB;0.016800000000
01/01/2025;01/12/2024;Yandex;Kazakhstan;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;5;RUB;0.087906912258
01/03/2025;01/02/2025;Yandex;"Russian Federation";"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;129;RUB;2.806524242858
01/03/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;1;RUB;0.725419830594
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;2;RUB;0.131782205288
01/02/2025;01/01/2025;Yandex;Belarus;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;3;RUB;0.067292063138
01/03/2025;01/09/2024;Yandex;Worldwide;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more Speed Up";3617662399204;DG-A0M-24-14130;;"Music Release";Stream;1;RUB;0.250512755770
01/03/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more Speed Up";3617662399204;DG-A0M-24-14130;;"Music Release";Stream;1;RUB;0.030868929961
01/01/2025;01/12/2024;Yandex;Uzbekistan;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;1;RUB;0.017581382469
01/01/2025;01/12/2024;Yandex;"Russian Federation";"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more Speed Up";3617662399204;DG-A0M-24-14130;;"Music Release";Stream;4;RUB;0.070325529790
01/03/2025;01/10/2024;Yandex;Worldwide;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;1;RUB;0.983319055789
01/02/2025;01/01/2025;Yandex;"Russian Federation";"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;139;RUB;3.060233421013
01/03/2025;01/09/2024;Yandex;Worldwide;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;1;RUB;0.772839731775
01/01/2025;01/12/2024;Yandex;Turkmenistan;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;1;RUB;0.131003686342
01/01/2025;01/12/2024;Yandex;Belarus;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;1;RUB;0.017581382469
01/02/2025;01/01/2025;Yandex;"Russian Federation";"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more Speed Up";3617662399204;DG-A0M-24-14130;;"Music Release";Stream;4;RUB;0.089722750851
01/01/2025;01/12/2024;Yandex;"Russian Federation";"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;256;RUB;4.500833906714
01/03/2025;01/08/2024;Yandex;Worldwide;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more Speed Up";3617662399204;DG-A0M-24-14130;;"Music Release";Stream;1;RUB;0.485389113409
01/03/2025;01/02/2025;Yandex;Kazakhstan;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;1;RUB;0.021587041761
01/03/2025;01/08/2024;Yandex;Worldwide;"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more";3617662399204;DG-A0M-24-14129;;"Music Release";Stream;1;RUB;1.240460054759
01/03/2025;01/02/2025;Yandex;"Russian Federation";"DARKI MUZIK";"Paskeka, Obscurity";"No more";"No more Speed Up";3617662399204;DG-A0M-24-14130;;"Music Release";Stream;1;RUB;0.021587041761
