"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/02/2025;01/02/2025;"YouTube UGC";"Saudi Arabia";"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;0.490962490518
01/02/2025;01/02/2025;"YouTube UGC";Sweden;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;1.281407941423
01/03/2025;01/03/2025;"YouTube UGC";"United States";"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;0.021232311602
01/03/2025;01/02/2025;Yandex;"Russian Federation";"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;113;RUB;2.421007393202
01/02/2025;01/02/2025;"YouTube UGC";Finland;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;0.951093527945
01/02/2025;01/02/2025;"YouTube UGC";"Moldova, Republic Of";"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;4;RUB;0.006471595050
01/03/2025;01/03/2025;"YouTube Official Content";Denmark;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;2;RUB;0.326680346241
01/03/2025;01/03/2025;"YouTube UGC";Poland;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;2;RUB;0.588502774902
01/03/2025;01/03/2025;"YouTube UGC";Japan;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;0.006086595958
01/02/2025;01/02/2025;"YouTube UGC";Spain;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;3;RUB;0.029326007369
01/02/2025;01/02/2025;"YouTube UGC";"Korea, Republic Of";"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;2;RUB;0.013401806942
01/03/2025;01/03/2025;"YouTube UGC";Denmark;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;0.005237303558
01/02/2025;01/02/2025;"YouTube UGC";Malaysia;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;3;RUB;0.002777185670
01/03/2025;01/02/2025;Yandex;Belarus;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;0.021587041761
01/02/2025;01/02/2025;"YouTube UGC";Netherlands;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;3;RUB;0.071595204760
01/02/2025;01/02/2025;"YouTube UGC";"United States";"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;59;RUB;3.711924513258
01/02/2025;01/02/2025;"YouTube UGC";Thailand;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;0.080244088855
01/02/2025;01/02/2025;"YouTube UGC";Ireland;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;0.013478243160
01/02/2025;01/02/2025;"YouTube UGC";France;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;8;RUB;0.018038934159
01/03/2025;01/02/2025;"Amazon Music Streaming";"United States";"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;12;RUB;3.853838461607
01/02/2025;01/02/2025;"YouTube UGC";"New Zealand";"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;7;RUB;1.986086780558
01/02/2025;01/02/2025;"YouTube UGC";Austria;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;2;RUB;0.004637127139
01/02/2025;01/02/2025;"YouTube UGC";Argentina;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;0.025931992082
01/02/2025;01/02/2025;"YouTube UGC";"United Kingdom";"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;11;RUB;1.295864898616
01/03/2025;01/02/2025;Yandex;Israel;"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;0.021587041761
01/03/2025;01/03/2025;"YouTube UGC";"New Zealand";"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;2;RUB;0.671585857633
01/02/2025;01/02/2025;"YouTube UGC";"Czech Republic";"Stars Clique";SADBOI;"Everyone Hates Me";"Everyone Hates Me";3617390863268;FR-2X4-25-80809;;"Music Release";Stream;1;RUB;0.266554929427
