"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/01/2025;01/12/2024;Yandex;"Moldova, Republic Of";thqlabel;"SEMPAI, Wyzzi";Учишь;Учишь;5063466053367;RU-A1D-24-49952;;"Music Release";Stream;5;RUB;0.201329216132
01/03/2025;01/02/2025;Yandex;Belarus;thqlabel;"SEMPAI, Wyzzi";Учишь;Учишь;5063466053367;RU-A1D-24-49952;;"Music Release";Stream;1695;RUB;34.702218001984
01/02/2025;01/01/2025;Yandex;"Russian Federation";thqlabel;"SEMPAI, Wyzzi";Учишь;Учишь;5063466053367;RU-A1D-24-49952;;"Music Release";Stream;64477;RUB;1411.252863176956
01/03/2025;01/02/2025;Yandex;Uzbekistan;thqlabel;"SEMPAI, Wyzzi";Учишь;Учишь;5063466053367;RU-A1D-24-49952;;"Music Release";Stream;186;RUB;3.923548129966
01/03/2025;01/02/2025;Yandex;"Russian Federation";thqlabel;"SEMPAI, Wyzzi";Учишь;Учишь;5063466053367;RU-A1D-24-49952;;"Music Release";Stream;62142;RUB;1307.666496665688
01/01/2025;01/12/2024;Yandex;Kyrgyzstan;thqlabel;"SEMPAI, Wyzzi";Учишь;Учишь;5063466053367;RU-A1D-24-49952;;"Music Release";Stream;5;RUB;0.087906912258
01/01/2025;01/12/2024;Yandex;"Russian Federation";thqlabel;"SEMPAI, Wyzzi";Учишь;Учишь;5063466053367;RU-A1D-24-49952;;"Music Release";Stream;8903;RUB;213.578466770183
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;"SEMPAI, Wyzzi";Учишь;Учишь;5063466053367;RU-A1D-24-49952;;"Music Release";Stream;1;RUB;0.004200000042
01/01/2025;01/12/2024;Yandex;Azerbaijan;thqlabel;"SEMPAI, Wyzzi";Учишь;Учишь;5063466053367;RU-A1D-24-49952;;"Music Release";Stream;2;RUB;0.035162764938
01/02/2025;01/01/2025;Yandex;Turkmenistan;thqlabel;"SEMPAI, Wyzzi";Учишь;Учишь;5063466053367;RU-A1D-24-49952;;"Music Release";Stream;10;RUB;0.032199637142
