"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/09/2024;Yandex;Worldwide;"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;ahh;3617662660762;DG-A0M-24-61395;;"Music Release";Stream;1;RUB;0.242162329025
01/01/2025;01/12/2024;Yandex;"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;ahh;3617662660762;DG-A0M-24-61395;;"Music Release";Stream;4;RUB;0.070325529790
01/01/2025;01/12/2024;Yandex;"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;29;RUB;0.509860090997
01/03/2025;01/08/2024;Yandex;Worldwide;"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;1;RUB;0.148789972620
01/02/2025;01/01/2025;Yandex;"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;ahh;3617662660762;DG-A0M-24-61395;;"Music Release";Stream;1;RUB;0.022430687713
01/03/2025;01/02/2025;Yandex;Kazakhstan;"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;2;RUB;0.043174083595
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;ahh;3617662660762;DG-A0M-24-61395;;"Music Release";Stream;1;RUB;0.106551212474
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;ahh;3617662660762;DG-A0M-24-61395;;"Music Release";Stream;2;RUB;0.101665221345
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;ahh;3617662660762;DG-A0M-24-61395;;"Music Release";Stream;1;RUB;0.055503857092
01/02/2025;01/01/2025;Yandex;"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;26;RUB;0.583197880690
01/03/2025;01/02/2025;Yandex;"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;14;RUB;0.302218584946
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;1;RUB;0.004200000042
01/03/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;1;RUB;0.301290413297
01/03/2025;01/09/2024;Yandex;Worldwide;"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;1;RUB;0.467623807681
01/03/2025;01/08/2024;Yandex;Worldwide;"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;ahh;3617662660762;DG-A0M-24-61395;;"Music Release";Stream;1;RUB;0.139490600162
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;2;RUB;0.213040799990
01/03/2025;01/10/2024;Yandex;Worldwide;"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;ahh;3617662660762;DG-A0M-24-61395;;"Music Release";Stream;1;RUB;0.094476049960
01/03/2025;01/02/2025;Yandex;"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;ahh;3617662660762;DG-A0M-24-61395;;"Music Release";Stream;4;RUB;0.086348167117
01/03/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;ahh;3617662660762;DG-A0M-24-61395;;"Music Release";Stream;1;RUB;0.077172323490
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;2;RUB;0.008400000000
01/02/2025;01/01/2025;Yandex;Kazakhstan;"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;5;RUB;0.112153438564
01/03/2025;01/10/2024;Yandex;Worldwide;"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;1;RUB;0.283428149805
01/01/2025;01/12/2024;Yandex;Kazakhstan;"DARKI MUZIK";"STARLEAN, щкёрт";Единичка;Кровь;3617662660762;DG-A0M-24-61397;;"Music Release";Stream;4;RUB;0.070325529790
