"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"VIRGIN 4EVER";ПЕРЕДОЗ;ПЕРЕДОЗ;3419630827272;RU-AGY-24-00084;;"Music Release";Stream;5;RUB;0.152485419126
01/03/2025;01/03/2025;"YouTube Official Content";"United Kingdom";thqlabel;"VIRGIN 4EVER";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";5063454977132;AE-A0D-23-23466;;"Music Release";Stream;1;RUB;0.136215895118
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;"VIRGIN 4EVER";ПЕРЕДОЗ;ПЕРЕДОЗ;3419630827272;RU-AGY-24-00084;;"Music Release";Stream;1;RUB;0.127582205246
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"VIRGIN 4EVER";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";5063454977132;AE-A0D-23-23466;;"Music Release";Stream;7;RUB;0.029400000000
01/01/2025;01/01/2025;"YouTube Official Content";Ukraine;thqlabel;"VIRGIN 4EVER";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";5063454977132;AE-A0D-23-23466;;"Music Release";Stream;1;RUB;0.056095597990
01/01/2025;01/01/2025;"YouTube Official Content";"United Kingdom";thqlabel;"VIRGIN 4EVER";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";5063454977132;AE-A0D-23-23466;;"Music Release";Stream;1;RUB;0.006361051449
01/03/2025;01/03/2025;"Apple Music";"Russian Federation";thqlabel;"VIRGIN 4EVER";ПЕРЕДОЗ;ПЕРЕДОЗ;3419630827272;RU-AGY-24-00084;;"Music Release";Stream;1;RUB;0.108907680002
01/01/2025;01/01/2025;"YouTube Official Content";"United States";thqlabel;"VIRGIN 4EVER";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";5063454977132;AE-A0D-23-23466;;"Music Release";Stream;1;RUB;0.134203392585
01/01/2025;01/01/2025;"YouTube Official Content";Germany;thqlabel;"VIRGIN 4EVER";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";5063454977132;AE-A0D-23-23466;;"Music Release";Stream;1;RUB;0.125416265641
01/01/2025;01/01/2025;"YouTube Official Content";Sweden;thqlabel;"VIRGIN 4EVER";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";5063454977132;AE-A0D-23-23466;;"Music Release";Stream;1;RUB;0.120327424464
01/02/2025;01/02/2025;"Apple Music";"Russian Federation";thqlabel;"VIRGIN 4EVER";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";5063454977132;AE-A0D-23-23466;;"Music Release";Stream;1;RUB;0.098590240037
01/01/2025;01/01/2025;"YouTube Official Content";Netherlands;thqlabel;"VIRGIN 4EVER";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";5063454977132;AE-A0D-23-23466;;"Music Release";Stream;3;RUB;0.420154845166
01/01/2025;01/01/2025;"Apple Music";Ukraine;thqlabel;"VIRGIN 4EVER";ПЕРЕДОЗ;ПЕРЕДОЗ;3419630827272;RU-AGY-24-00084;;"Music Release";Stream;1;RUB;0.232391218213
01/02/2025;01/02/2025;"Apple Music";Germany;thqlabel;"VIRGIN 4EVER";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";5063454977132;AE-A0D-23-23466;;"Music Release";Stream;1;RUB;0.513603613112
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"VIRGIN 4EVER";ПЕРЕДОЗ;ПЕРЕДОЗ;3419630827272;RU-AGY-24-00084;;"Music Release";Stream;2;RUB;0.125022049358
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";thqlabel;"VIRGIN 4EVER";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";"ЭЛЯ ИЗ ЭЛЕВЕЙТ";5063454977132;AE-A0D-23-23466;;"Music Release";Stream;5;RUB;0.360449600015
