"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/01/2025;TikTok;"United States";thqlabel;"VIRGIN 4EVER, Kinnashi";"ПАРКОВКА КЛУБА";"ПАРКОВКА КЛУБА";3617664349306;DG-A0P-24-07042;;"Music Release";Creation;1;RUB;0.089275003734
01/01/2025;01/12/2024;Yandex;"Russian Federation";thqlabel;"VIRGIN 4EVER, Kinnashi";"ПАРКОВКА КЛУБА";"ПАРКОВКА КЛУБА";3617664349306;DG-A0P-24-07042;;"Music Release";Stream;74;RUB;2.208400731886
01/03/2025;01/03/2025;"Apple Music";"Russian Federation";thqlabel;"VIRGIN 4EVER, Kinnashi";"ПАРКОВКА КЛУБА";"ПАРКОВКА КЛУБА";3617664349306;DG-A0P-24-07042;;"Music Release";Stream;1;RUB;0.133348320027
01/02/2025;01/12/2024;TikTok;"United States";thqlabel;"VIRGIN 4EVER, Kinnashi";"ПАРКОВКА КЛУБА";"ПАРКОВКА КЛУБА";3617664349306;DG-A0P-24-07042;;"Music Release";Creation;1;RUB;0.097145593481
01/03/2025;01/02/2025;Yandex;"Russian Federation";thqlabel;"VIRGIN 4EVER, Kinnashi";"ПАРКОВКА КЛУБА";"ПАРКОВКА КЛУБА";3617664349306;DG-A0P-24-07042;;"Music Release";Stream;38;RUB;0.820307587795
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"VIRGIN 4EVER, Kinnashi";"ПАРКОВКА КЛУБА";"ПАРКОВКА КЛУБА";3617664349306;DG-A0P-24-07042;;"Music Release";Stream;11;RUB;1.492539610390
01/01/2025;01/12/2024;Soundcloud;Netherlands;thqlabel;"VIRGIN 4EVER, Kinnashi";"ПАРКОВКА КЛУБА";"ПАРКОВКА КЛУБА";3617664349306;DG-A0P-24-07042;;"Music Release";Stream;3;RUB;0.814530825636
01/03/2025;01/10/2024;Yandex;Worldwide;thqlabel;"VIRGIN 4EVER, Kinnashi";"ПАРКОВКА КЛУБА";"ПАРКОВКА КЛУБА";3617664349306;DG-A0P-24-07042;;"Music Release";Stream;1;RUB;2.329602775497
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"VIRGIN 4EVER, Kinnashi";"ПАРКОВКА КЛУБА";"ПАРКОВКА КЛУБА";3617664349306;DG-A0P-24-07042;;"Music Release";Stream;130;RUB;2.762999267945
01/02/2025;01/12/2024;TikTok;France;thqlabel;"VIRGIN 4EVER, Kinnashi";"ПАРКОВКА КЛУБА";"ПАРКОВКА КЛУБА";3617664349306;DG-A0P-24-07042;;"Music Release";Creation;1;RUB;0.097145593481
