"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/02/2025;Yandex;Kazakhstan;"Stars Clique";YELLOW.Eyes;"давит на мозги";"давит на мозги";3617390151242;FR-2X4-25-26424;;"Music Release";Stream;3;RUB;0.028104468584
01/03/2025;01/02/2025;"Amazon Music Streaming";"United States";"Stars Clique";YELLOW.Eyes;"Баба капа";"Баба капа";3617669282622;FR-10S-25-71795;;"Music Release";Stream;16;RUB;2.873614756536
01/02/2025;01/01/2025;Yandex;"Russian Federation";"Stars Clique";YELLOW.Eyes;"дед мороз";"дед мороз";3617667954187;DG-A0T-24-26105;;"Music Release";Stream;1736;RUB;37.959926957540
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";YELLOW.Eyes;"запах лета";"запах лета";3617390891797;FR-2X4-25-83824;;"Music Release";Stream;1;RUB;0.120822049358
01/02/2025;01/02/2025;"YouTube Official Content";"United States";"Stars Clique";YELLOW.Eyes;"Баба капа";"Баба капа";3617669282622;FR-10S-25-71795;;"Music Release";Stream;1;RUB;0.013403080926
01/03/2025;01/02/2025;Yandex;Belarus;"Stars Clique";YELLOW.Eyes;"запах лета";адреналин;3617390891797;FR-2X4-25-83825;;"Music Release";Stream;4;RUB;0.013034853646
01/01/2025;01/12/2024;Yandex;"Russian Federation";"Stars Clique";YELLOW.Eyes;"дед мороз";"дед мороз";3617667954187;DG-A0T-24-26105;;"Music Release";Stream;170;RUB;3.896213446926
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";YELLOW.Eyes;"In love";"In love";3617667065494;DG-A0S-24-44474;;"Music Release";Stream;6;RUB;0.229902424873
01/02/2025;01/01/2025;Yandex;Belarus;"Stars Clique";YELLOW.Eyes;"Баба капа";"Баба капа";3617669282622;FR-10S-25-71795;;"Music Release";Stream;4;RUB;0.089722750851
01/03/2025;01/02/2025;Yandex;"Russian Federation";"Stars Clique";YELLOW.Eyes;"запах лета";"не так";3617390891797;FR-2X4-25-83826;;"Music Release";Stream;22;RUB;0.474914919254
01/02/2025;01/01/2025;Yandex;"Moldova, Republic Of";"Stars Clique";YELLOW.Eyes;"In love";"In love";3617667065494;DG-A0S-24-44474;;"Music Release";Stream;1;RUB;0.003219963738
