"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;49;RUB;1.099103698240
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;1;RUB;0.017581382469
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;4;RUB;0.175744703675
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;1;RUB;0.008350423625
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;1;RUB;0.007717233196
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;1;RUB;0.009299372458
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;1;RUB;0.007968290678
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;3;RUB;0.012600000000
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;15;RUB;0.323805626781
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;1;RUB;0.007873005718
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;1;RUB;0.009347236651
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Yatokora;"Не нужно";"Не нужно";3616848933874;FR-X28-22-26049;;"Music Release";Stream;15;RUB;0.529326106955
