"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/02/2025;01/01/2025;Spotify;Turkey;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;50;RUB;1.103649742644
01/03/2025;01/02/2025;Spotify;"Czech Republic";thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;21;RUB;1.849340773618
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;868;RUB;35.904482162146
01/03/2025;01/02/2025;Spotify;Austria;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;3;RUB;0.692976490859
01/02/2025;01/01/2025;Spotify;"United Kingdom";thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;16;RUB;3.912335837692
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;625;RUB;19.841638654491
01/02/2025;01/01/2025;Spotify;Slovakia;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;1;RUB;0.002268020752
01/03/2025;01/01/2025;TikTok;Ukraine;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Creation;1;RUB;0.089275003734
01/01/2025;01/12/2024;"UMA (Vkontakte)";Belarus;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;25;RUB;0.105000000042
01/02/2025;01/01/2025;Spotify;France;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;33;RUB;1.020506338294
01/02/2025;01/02/2025;"YouTube Official Content";Belarus;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;1;RUB;0.021669651794
01/01/2025;01/12/2024;Spotify;Latvia;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;3;RUB;0.100101568034
01/02/2025;01/01/2025;"UMA (Vkontakte)";Ukraine;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;2;RUB;0.008400000000
01/03/2025;01/02/2025;NetEase;"China Mainland";thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;3;RUB;0.038835241867
01/01/2025;01/01/2025;"YouTube UGC";Netherlands;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;15;RUB;0.069964521788
01/02/2025;01/02/2025;"YouTube UGC";"United States";thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;4;RUB;0.060435525092
01/03/2025;01/02/2025;Yandex;"Russian Federation";thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;2164;RUB;44.673474327004
01/01/2025;01/12/2024;Yandex;Uzbekistan;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;5;RUB;0.087906912258
01/02/2025;01/01/2025;Yandex;Uzbekistan;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;2;RUB;0.025650651450
01/02/2025;01/01/2025;Spotify;Germany;thqlabel;"athysue, maryy";"made it lovely & fairly sadistic";MARA;3617667208471;DG-A0S-24-57106;;"Music Release";Stream;36;RUB;3.124765567810
