"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";babybonov;"пустая улица";"нахуй жизнь";3617660001451;DG-A06-24-42100;;"Music Release";Stream;10;RUB;0.962397933885
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";babybonov;"пустая улица";"пустая улица";3617660001451;DG-A06-24-42097;;"Music Release";Stream;22;RUB;0.632697735988
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";babybonov;"пустая улица";"забудьте обо мне";3617660001451;DG-A06-24-42094;;"Music Release";Stream;20;RUB;1.090785933494
01/02/2025;01/01/2025;Yandex;"Russian Federation";"Stars Clique";babybonov;"пустая улица";"2000 птиц";3617660001451;DG-A06-24-42095;;"Music Release";Stream;2;RUB;0.044861375503
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";babybonov;"пустая улица";"забудьте обо мне";3617660001451;DG-A06-24-42094;;"Music Release";Stream;40;RUB;4.362994978101
01/01/2025;01/12/2024;"UMA (Vkontakte)";Ukraine;"Stars Clique";babybonov;"пустая улица";"газ 21";3617660001451;DG-A06-24-42093;;"Music Release";Stream;1;RUB;0.004200000042
01/03/2025;01/07/2024;Yandex;Worldwide;"Stars Clique";babybonov;"пустая улица";"всегда в дыму";3617660001451;DG-A06-24-42096;;"Music Release";Stream;1;RUB;0.224184825450
01/03/2025;01/10/2024;Yandex;Worldwide;"Stars Clique";babybonov;"пустая улица";"пустая улица";3617660001451;DG-A06-24-42097;;"Music Release";Stream;1;RUB;0.038558552848
01/01/2025;01/12/2024;Yandex;"Russian Federation";"Stars Clique";babybonov;"пустая улица";"всегда в дыму";3617660001451;DG-A06-24-42096;;"Music Release";Stream;24;RUB;0.535375482697
01/03/2025;01/02/2025;Yandex;Kazakhstan;"Stars Clique";babybonov;"пустая улица";"нахуй жизнь";3617660001451;DG-A06-24-42100;;"Music Release";Stream;1;RUB;0.021587041761
01/02/2025;01/01/2025;Yandex;"Russian Federation";"Stars Clique";babybonov;"пустая улица";"газ 21";3617660001451;DG-A06-24-42093;;"Music Release";Stream;7;RUB;0.157014814067
01/03/2025;01/02/2025;Yandex;"Russian Federation";"Stars Clique";babybonov;"пустая улица";"только небо свет и звезды";3617660001451;DG-A06-24-42099;;"Music Release";Stream;3;RUB;0.046432797007
01/02/2025;01/01/2025;Yandex;"Russian Federation";"Stars Clique";babybonov;"пустая улица";"пустая улица";3617660001451;DG-A06-24-42097;;"Music Release";Stream;7;RUB;0.157014814067
01/03/2025;01/09/2024;Yandex;Worldwide;"Stars Clique";babybonov;"пустая улица";"забудьте обо мне";3617660001451;DG-A06-24-42094;;"Music Release";Stream;1;RUB;0.146557840826
01/03/2025;01/11/2024;Yandex;Worldwide;"Stars Clique";babybonov;"пустая улица";"газ 21";3617660001451;DG-A06-24-42093;;"Music Release";Stream;1;RUB;0.023151696839
01/02/2025;01/01/2025;Yandex;"Russian Federation";"Stars Clique";babybonov;"пустая улица";"дальше снов";3617660001451;DG-A06-24-42098;;"Music Release";Stream;4;RUB;0.089722750851
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";babybonov;"пустая улица";"только небо свет и звезды";3617660001451;DG-A06-24-42099;;"Music Release";Stream;8;RUB;0.691027095632
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";babybonov;"пустая улица";"пустая улица";3617660001451;DG-A06-24-42097;;"Music Release";Stream;14;RUB;0.799093231474
01/03/2025;01/09/2024;Yandex;Worldwide;"Stars Clique";babybonov;"пустая улица";"пустая улица";3617660001451;DG-A06-24-42097;;"Music Release";Stream;1;RUB;0.066803401554
01/03/2025;01/02/2025;Yandex;"Russian Federation";"Stars Clique";babybonov;"пустая улица";"газ 21";3617660001451;DG-A06-24-42093;;"Music Release";Stream;2;RUB;0.043174083595
01/03/2025;01/09/2024;Yandex;Worldwide;"Stars Clique";babybonov;"пустая улица";"дальше снов";3617660001451;DG-A06-24-42098;;"Music Release";Stream;1;RUB;0.160958382626
01/03/2025;01/11/2024;Yandex;Worldwide;"Stars Clique";babybonov;"пустая улица";"пустая улица";3617660001451;DG-A06-24-42097;;"Music Release";Stream;1;RUB;0.100324020329
01/01/2025;01/12/2024;Yandex;Kazakhstan;"Stars Clique";babybonov;"пустая улица";"газ 21";3617660001451;DG-A06-24-42093;;"Music Release";Stream;2;RUB;0.035162764938
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";babybonov;"пустая улица";"пустая улица";3617660001451;DG-A06-24-42097;;"Music Release";Stream;21;RUB;0.482656257379
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";babybonov;"пустая улица";"всегда в дыму";3617660001451;DG-A06-24-42096;;"Music Release";Stream;24;RUB;0.920565583355
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";babybonov;"пустая улица";"всегда в дыму";3617660001451;DG-A06-24-42096;;"Music Release";Stream;24;RUB;0.888612671737
01/03/2025;01/10/2024;Yandex;Worldwide;"Stars Clique";babybonov;"пустая улица";"2000 птиц";3617660001451;DG-A06-24-42095;;"Music Release";Stream;1;RUB;0.023215777499
01/03/2025;01/11/2024;Yandex;Worldwide;"Stars Clique";babybonov;"пустая улица";"забудьте обо мне";3617660001451;DG-A06-24-42094;;"Music Release";Stream;1;RUB;0.046621745914
01/03/2025;01/10/2024;Yandex;Worldwide;"Stars Clique";babybonov;"пустая улица";"всегда в дыму";3617660001451;DG-A06-24-42096;;"Music Release";Stream;1;RUB;0.238821076318
