"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/01/2025;01/01/2025;"YouTube Official Content";Ukraine;thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;2;RUB;0.091503044687
01/03/2025;01/02/2025;Yandex;"Russian Federation";thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;16;RUB;0.308736011770
01/01/2025;01/12/2024;NetEase;"China Mainland";thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;3;RUB;0.031043426806
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Moldova, Republic Of";thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;1;RUB;0.004200000000
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;4;RUB;0.466301281019
01/01/2025;01/12/2024;Soundcloud;"United Kingdom";thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;3;RUB;0.814530825636
01/01/2025;01/11/2024;"Facebook / Instagram";Worldwide;thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Creation;13;RUB;0.426833810042
01/01/2025;01/12/2024;"Amazon Music Streaming";Peru;thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;1;RUB;0.188485975146
01/02/2025;01/01/2025;Soundcloud;France;thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;2;RUB;0.436447081174
01/03/2025;01/01/2025;TikTok;Kazakhstan;thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Creation;1;RUB;0.089275003734
01/03/2025;01/03/2025;"YouTube Official Content";Ukraine;thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;1;RUB;0.113661126545
01/02/2025;01/01/2025;Yandex;Kazakhstan;thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;1;RUB;0.022430687713
01/03/2025;01/11/2024;Yandex;Worldwide;thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;1;RUB;0.409013308790
01/01/2025;01/12/2024;Yandex;"Russian Federation";thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;32;RUB;0.676026542191
01/03/2025;01/10/2024;Yandex;Worldwide;thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;1;RUB;0.896312772042
01/02/2025;01/01/2025;Yandex;"Russian Federation";thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;23;RUB;0.515905817550
01/01/2025;01/12/2024;"UMA VK MUSIC";"Russian Federation";thqlabel;"bio, zeromandia, tarab";"не прав";"не прав";3617663714099;DG-A0L-24-16406;;"Music Release";Stream;1;RUB;0.127582205246
