"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/08/2024;Yandex;Worldwide;thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;1;RUB;0.130191224362
01/02/2025;01/01/2025;Yandex;"Russian Federation";thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;11;RUB;0.246737564919
01/03/2025;01/09/2024;Yandex;Worldwide;thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;1;RUB;0.091854675548
01/03/2025;01/11/2024;Yandex;Worldwide;thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;1;RUB;0.239711729531
01/02/2025;01/01/2025;Yandex;Belarus;thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;1;RUB;0.022430687713
01/03/2025;01/07/2024;Anghami;Egypt;thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;1;RUB;0.098243198118
01/03/2025;01/07/2024;Anghami;Lebanon;thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;1;RUB;0.073250394945
01/01/2025;01/12/2024;Yandex;"Russian Federation";thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;54;RUB;1.176239259951
01/03/2025;01/07/2024;Yandex;Worldwide;thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;1;RUB;0.383466597443
01/03/2025;01/02/2025;Yandex;"Russian Federation";thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;3;RUB;0.064761125356
01/03/2025;01/10/2024;Yandex;Worldwide;thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;1;RUB;0.055111028877
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;1;RUB;0.127582205246
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;1;RUB;0.106551212474
01/02/2025;01/01/2025;NetEase;"China Mainland";thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;4;RUB;0.053065091140
01/03/2025;01/02/2025;NetEase;"China Mainland";thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;4;RUB;0.127306465857
01/01/2025;01/12/2024;NetEase;"China Mainland";thqlabel;disa;FORGET;FORGET;3617660657283;DG-A07-24-35658;;"Music Release";Stream;1;RUB;0.036452718270
