"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";дисторшн;аптека;аптека;3617057739998;FR-X20-23-27096;;"Music Release";Stream;1;RUB;0.025523694744
01/02/2025;01/02/2025;"YouTube Official Content";"United Kingdom";"трэп хаус квэльчиков";дисторшн;аптека;аптека;3617057739998;FR-X20-23-27096;;"Music Release";Stream;1;RUB;0.196096972502
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";дисторшн;аптека;аптека;3617057739998;FR-X20-23-27096;;"Music Release";Stream;15;RUB;0.142472351838
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";дисторшн;аптека;аптека;3617057739998;FR-X20-23-27096;;"Music Release";Stream;13;RUB;0.054600000000
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";дисторшн;аптека;аптека;3617057739998;FR-X20-23-27096;;"Music Release";Stream;1;RUB;0.023619013363
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";дисторшн;аптека;аптека;3617057739998;FR-X20-23-27096;;"Music Release";Stream;1;RUB;0.021587041761
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";дисторшн;аптека;аптека;3617057739998;FR-X20-23-27096;;"Music Release";Stream;1;RUB;0.018598744915
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";дисторшн;аптека;аптека;3617057739998;FR-X20-23-27096;;"Music Release";Stream;1;RUB;0.014875530302
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";дисторшн;аптека;аптека;3617057739998;FR-X20-23-27096;;"Music Release";Stream;6;RUB;0.025200000000
01/02/2025;01/02/2025;"YouTube Official Content";Germany;"трэп хаус квэльчиков";дисторшн;аптека;аптека;3617057739998;FR-X20-23-27096;;"Music Release";Stream;1;RUB;0.178520477212
