"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";фэтби;"два прикольных трека";стесняшка;3617057497140;FR-96X-23-88413;;"Music Release";Stream;1;RUB;0.015936581283
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";фэтби;"время веселиться";"время веселиться";3617051393035;FR-X76-22-82596;;"Music Release";Stream;1;RUB;0.025051273994
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";фэтби;"время веселиться";"время веселиться";3617051393035;FR-X76-22-82596;;"Music Release";Stream;1;RUB;0.037197493174
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";фэтби;"одно но";"одно но";3617059918834;FR-X45-23-60584;;"Music Release";Stream;1;RUB;0.016340355082
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";фэтби;"два прикольных трека";"в клуб";3617057497140;FR-96X-23-88414;;"Music Release";Stream;1;RUB;0.004200000000
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";фэтби;"одно но";"одно но";3617059918834;FR-X45-23-60584;;"Music Release";Stream;1;RUB;0.007717233196
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";фэтби;"время веселиться";"время веселиться";3617051393035;FR-X76-22-82596;;"Music Release";Stream;1;RUB;0.047238026726
01/01/2025;01/10/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";фэтби;"два прикольных трека";"в клуб";3617057497140;FR-96X-23-88414;;"Music Release";Stream;2;RUB;0.604063435883
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";фэтби;"одно но";"одно но";3617059918834;FR-X45-23-60584;;"Music Release";Stream;1;RUB;0.022430687713
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";фэтби;"время веселиться";"время веселиться";3617051393035;FR-X76-22-82596;;"Music Release";Stream;6;RUB;0.134584126354
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";фэтби;"время веселиться";"время веселиться";3617051393035;FR-X76-22-82596;;"Music Release";Stream;1;RUB;0.066939889812
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";фэтби;"два прикольных трека";стесняшка;3617057497140;FR-96X-23-88413;;"Music Release";Stream;1;RUB;0.009347236651
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";фэтби;"время веселиться";"время веселиться";3617051393035;FR-X76-22-82596;;"Music Release";Stream;1;RUB;0.023151696839
01/01/2025;01/10/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";фэтби;"два прикольных трека";стесняшка;3617057497140;FR-96X-23-88413;;"Music Release";Stream;1;RUB;0.302031717942
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";фэтби;"время веселиться";"время веселиться";3617051393035;FR-X76-22-82596;;"Music Release";Stream;1;RUB;0.131587004982
