"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/03/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;1;RUB;0.073946320005
01/03/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;1;RUB;0.216082504151
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;6;RUB;0.127551212474
01/03/2025;01/07/2024;Yandex;Worldwide;"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;1;RUB;0.084080328409
01/03/2025;01/08/2024;Yandex;Worldwide;"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;1;RUB;0.055796238089
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;3;RUB;0.144085419126
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;7;RUB;0.029400000042
01/03/2025;01/10/2024;Yandex;Worldwide;"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;1;RUB;0.015746007720
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;3;RUB;0.319561199986
01/01/2025;01/12/2024;Yandex;"Russian Federation";"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;1;RUB;0.017581382469
01/03/2025;01/09/2024;Yandex;Worldwide;"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;1;RUB;0.008350423625
01/03/2025;01/03/2025;"Apple Music";Israel;"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;1;RUB;0.167138488653
01/02/2025;01/01/2025;Yandex;"Russian Federation";"DARKI MUZIK";hydra;"It's a trap";"It's a trap";3617661196415;DG-A08-24-17646;;"Music Release";Stream;1;RUB;0.022430687713
