"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/02/2025;Yandex;"Russian Federation";"Stars Clique";kenma;RESONANCE;макромания;3617668029495;DG-A0T-24-35496;;"Music Release";Stream;41;RUB;0.866740384802
01/02/2025;01/01/2025;Yandex;"Russian Federation";"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;358;RUB;7.607550275603
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";kenma;RESONANCE;"день сурка";3617668029495;DG-A0T-24-35493;;"Music Release";Stream;33;RUB;1.415233993482
01/02/2025;01/01/2025;"UMA (Vkontakte)";Kazakhstan;"Stars Clique";kenma;RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;8;RUB;0.642767879490
01/02/2025;01/01/2025;Yandex;"Russian Federation";"Stars Clique";kenma;RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;137;RUB;3.053793493615
01/01/2025;01/01/2025;"YouTube Official Content";Kazakhstan;"Stars Clique";kenma;RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;1;RUB;0.017041700650
01/02/2025;01/01/2025;Yandex;Kazakhstan;"Stars Clique";kenma;RESONANCE;макромания;3617668029495;DG-A0T-24-35496;;"Music Release";Stream;1;RUB;0.022430687713
01/02/2025;01/01/2025;"UMA (Vkontakte)";Kazakhstan;"Stars Clique";kenma;RESONANCE;"день сурка";3617668029495;DG-A0T-24-35493;;"Music Release";Stream;2;RUB;0.160691969892
01/03/2025;01/02/2025;Yandex;Kazakhstan;"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;1;RUB;0.021587041761
01/02/2025;01/01/2025;Yandex;Kyrgyzstan;"Stars Clique";kenma;RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;1;RUB;0.022430687713
01/03/2025;01/02/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;3;RUB;0.012600000000
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";kenma;RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;17;RUB;0.887754345579
01/02/2025;01/01/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";kenma;RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;3;RUB;0.012600000000
01/02/2025;01/01/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";kenma;RESONANCE;"день сурка";3617668029495;DG-A0T-24-35493;;"Music Release";Stream;11;RUB;0.046200000000
01/03/2025;01/02/2025;Yandex;"Russian Federation";"Stars Clique";kenma;RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;35;RUB;0.755546462439
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";kenma;RESONANCE;"день сурка";3617668029495;DG-A0T-24-35493;;"Music Release";Stream;45;RUB;0.888732296222
01/02/2025;01/01/2025;Yandex;Uzbekistan;"Stars Clique";kenma;RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;1;RUB;0.022430687713
01/02/2025;01/01/2025;"Amazon Music Streaming";Japan;"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;1;RUB;0.295300091314
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;14;RUB;1.177207690405
01/03/2025;01/02/2025;"UMA (Vkontakte)";Kazakhstan;"Stars Clique";kenma;RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;2;RUB;0.165869487958
01/03/2025;01/02/2025;"UMA (Vkontakte)";Kazakhstan;"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;4;RUB;0.331738975915
01/01/2025;01/01/2025;"YouTube Official Content";Lithuania;"Stars Clique";kenma;RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;1;RUB;0.050385444745
01/02/2025;01/01/2025;Yandex;Belarus;"Stars Clique";kenma;RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;14;RUB;0.256397456054
01/02/2025;01/01/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";kenma;RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;2;RUB;0.008400000000
01/02/2025;01/01/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;11;RUB;0.046200000000
01/02/2025;01/02/2025;"YouTube Official Content";Germany;"Stars Clique";kenma;RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;1;RUB;0.114661885962
01/03/2025;01/02/2025;Yandex;"Russian Federation";"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;140;RUB;2.893887551239
01/03/2025;01/02/2025;"UMA (Vkontakte)";Kazakhstan;"Stars Clique";kenma;RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;1;RUB;0.082934743979
01/02/2025;01/01/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";kenma;RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;1;RUB;0.004200000000
01/02/2025;01/02/2025;"YouTube Official Content";Ukraine;"Stars Clique";kenma;RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;1;RUB;0.036330107590
01/02/2025;01/01/2025;Yandex;"Russian Federation";"Stars Clique";kenma;RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;114;RUB;2.537887676065
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";kenma;RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;42;RUB;0.965312514758
01/03/2025;01/02/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";kenma;RESONANCE;"день сурка";3617668029495;DG-A0T-24-35493;;"Music Release";Stream;4;RUB;0.016800000000
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";kenma;RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;32;RUB;0.134400000000
01/02/2025;01/01/2025;Yandex;Kyrgyzstan;"Stars Clique";kenma;RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;1;RUB;0.022430687713
01/02/2025;01/01/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";kenma;RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;2;RUB;0.008400000000
01/02/2025;01/01/2025;Yandex;"Russian Federation";"Stars Clique";kenma;RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;55;RUB;1.233687824594
01/02/2025;01/01/2025;NetEase;"China Mainland";"Stars Clique";kenma;RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;2;RUB;0.048552958878
01/02/2025;01/01/2025;Yandex;Belarus;"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;7;RUB;0.118593365962
01/02/2025;01/01/2025;Yandex;Uzbekistan;"Stars Clique";kenma;RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;1;RUB;0.022430687713
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";kenma;RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;52;RUB;1.552427740558
01/03/2025;01/02/2025;Yandex;Uzbekistan;"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;1;RUB;0.021587041761
01/02/2025;01/01/2025;"UMA (Vkontakte)";Kazakhstan;"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;6;RUB;0.482075909598
01/03/2025;01/02/2025;Yandex;Ukraine;"Stars Clique";kenma;RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;1;RUB;0.003258713412
01/02/2025;01/01/2025;Yandex;Belarus;"Stars Clique";kenma;RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;4;RUB;0.070512026876
