"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";kimey;"Из сна";"Из сна";3617057944392;FR-X20-23-59072;;"Music Release";Stream;1;RUB;0.022313296604
01/01/2025;01/10/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";kimey;"Белый свет";"Белый свет";3617050223647;FR-X45-22-49094;;"Music Release";Stream;1;RUB;0.302031717942
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";kimey;"Белый свет";"Белый свет";3617050223647;FR-X45-22-49094;;"Music Release";Stream;1;RUB;0.018260313771
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";kimey;"Белый свет";"Белый свет";3617050223647;FR-X45-22-49094;;"Music Release";Stream;1;RUB;0.007310389446
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";kimey;"Белый свет";"Белый свет";3617050223647;FR-X45-22-49094;;"Music Release";Stream;1;RUB;0.007717233196
01/01/2025;01/12/2024;Likee;"Russian Federation";"трэп хаус квэльчиков";kimey;"Белый свет";"Белый свет";3617050223647;FR-X45-22-49094;;"Music Release";Stream;21;RUB;0.662671540411
01/01/2025;01/11/2024;"Facebook / Instagram";Worldwide;"трэп хаус квэльчиков";kimey;"Из сна";"Из сна";3617057944392;FR-X20-23-59072;;"Music Release";Creation;6;RUB;0.197000219999
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";kimey;"Белый свет";"Белый свет";3617050223647;FR-X45-22-49094;;"Music Release";Stream;1;RUB;0.022313296604
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";kimey;"Белый свет";"Белый свет";3617050223647;FR-X45-22-49094;;"Music Release";Stream;1;RUB;0.007873005718
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";kimey;"Белый свет";"Белый свет";3617050223647;FR-X45-22-49094;;"Music Release";Stream;1;RUB;0.009299372458
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";kimey;"Белый свет";"Белый свет";3617050223647;FR-X45-22-49094;;"Music Release";Stream;2;RUB;0.035162764938
