"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/02/2025;Spotify;Nigeria;thqlabel;"maryy, di4umi";"diverse 2";"ответь мне";3617665871905;DG-A0R-24-20306;;"Music Release";Stream;11;RUB;0.168909923805
01/02/2025;01/01/2025;Yandex;Belarus;thqlabel;"maryy, di4umi";"diverse 2";"ответь мне";3617665871905;DG-A0R-24-20306;;"Music Release";Stream;1;RUB;0.022430687713
01/03/2025;01/02/2025;Spotify;France;thqlabel;"maryy, di4umi";"diverse 2";"ответь мне";3617665871905;DG-A0R-24-20306;;"Music Release";Stream;6;RUB;0.144489818595
01/03/2025;01/02/2025;Spotify;India;thqlabel;"maryy, di4umi";"diverse 2";"ответь мне";3617665871905;DG-A0R-24-20306;;"Music Release";Stream;7;RUB;0.344804109415
01/03/2025;01/02/2025;Spotify;Switzerland;thqlabel;"maryy, di4umi";"diverse 2";"ответь мне";3617665871905;DG-A0R-24-20306;;"Music Release";Stream;1;RUB;0.196252527296
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"maryy, di4umi";"diverse 2";"ответь мне";3617665871905;DG-A0R-24-20306;;"Music Release";Stream;69;RUB;2.729651542517
01/03/2025;01/02/2025;Spotify;"United Kingdom";thqlabel;"maryy, di4umi";"diverse 2";"ответь мне";3617665871905;DG-A0R-24-20306;;"Music Release";Stream;3;RUB;0.314885743582
01/02/2025;01/01/2025;Spotify;France;thqlabel;"maryy, di4umi";"diverse 2";"ответь мне";3617665871905;DG-A0R-24-20306;;"Music Release";Stream;8;RUB;0.186132341100
01/01/2025;01/12/2024;Yandex;"Russian Federation";thqlabel;"maryy, di4umi";diverse;"весёлая песня №2";5063466246233;RU-A1D-24-81025;;"Music Release";Stream;5;RUB;0.087906912258
01/03/2025;01/02/2025;Spotify;"Czech Republic";thqlabel;"maryy, di4umi";"diverse 2";"ответь мне";3617665871905;DG-A0R-24-20306;;"Music Release";Stream;1;RUB;0.159151784439
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"maryy, di4umi";diverse;"весёлая песня №2";5063466246233;RU-A1D-24-81025;;"Music Release";Stream;5;RUB;0.021000000000
01/02/2025;01/01/2025;Spotify;"Viet Nam";thqlabel;"maryy, di4umi";"diverse 2";"ответь мне";3617665871905;DG-A0R-24-20306;;"Music Release";Stream;1;RUB;0.002989663779
01/03/2025;01/02/2025;Yandex;Belarus;thqlabel;"maryy, di4umi";"diverse 2";"ответь мне";3617665871905;DG-A0R-24-20306;;"Music Release";Stream;11;RUB;0.237457459664
01/03/2025;01/02/2025;Yandex;"Russian Federation";thqlabel;"maryy, di4umi";diverse;"весёлая песня №2";5063466246233;RU-A1D-24-81025;;"Music Release";Stream;9;RUB;0.194283376069
