"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"nipa regret";"Did I Hurt You?";"Did I Hurt You?";3617051437821;FR-X76-22-85878;;"Music Release";Stream;11;RUB;0.987351333930
01/03/2025;01/03/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"nipa regret";"Did I Hurt You?";"Did I Hurt You?";3617051437821;FR-X76-22-85878;;"Music Release";Stream;1;RUB;0.073946320005
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"nipa regret";"Did I Hurt You?";"Did I Hurt You?";3617051437821;FR-X76-22-85878;;"Music Release";Stream;1;RUB;0.004200000000
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"nipa regret";"Did I Hurt You?";"Did I Hurt You?";3617051437821;FR-X76-22-85878;;"Music Release";Stream;1;RUB;0.082171414794
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"nipa regret";"Did I Hurt You?";"Did I Hurt You?";3617051437821;FR-X76-22-85878;;"Music Release";Stream;1;RUB;0.125256376362
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"nipa regret";"Did I Hurt You?";"Did I Hurt You?";3617051437821;FR-X76-22-85878;;"Music Release";Stream;1;RUB;0.023055335857
01/01/2025;01/12/2024;"Ultimate Music";"China Mainland";"трэп хаус квэльчиков";"nipa regret";"Did I Hurt You?";"Did I Hurt You?";3617051437821;FR-X76-22-85878;;"Music Release";Stream;1;RUB;0.016137682820
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"nipa regret";"Did I Hurt You?";"Did I Hurt You?";3617051437821;FR-X76-22-85878;;"Music Release";Stream;1;RUB;0.155618056594
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"nipa regret";"ничего не связывает";"ничего не связывает";3617053078138;DG-A06-22-40771;;"Music Release";Stream;1;RUB;0.004200000042
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"nipa regret";"Did I Hurt You?";"Did I Hurt You?";3617051437821;FR-X76-22-85878;;"Music Release";Stream;6;RUB;0.134584126354
