"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/11/2024;Yandex;Worldwide;thqlabel;"no life";"step into the abyss";"всему виной";3617665710471;DG-A0R-24-03464;;"Music Release";Stream;1;RUB;0.038586160333
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"no life";"step into the abyss";s1lence;3617665710471;DG-A0R-24-03461;;"Music Release";Stream;2;RUB;0.194930442766
01/02/2025;01/12/2024;Deezer;"United Kingdom";thqlabel;"no life";"step into the abyss";reborn;3617665710471;DG-A0R-24-03460;;"Music Release";Stream;2;RUB;2.689863698162
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"no life";"step into the abyss";"всему виной";3617665710471;DG-A0R-24-03464;;"Music Release";Stream;2;RUB;0.194930442766
01/03/2025;01/02/2025;"Amazon Music Streaming";Japan;thqlabel;"no life";"step into the abyss";свет;3617665710471;DG-A0R-24-03465;;"Music Release";Stream;1;RUB;0.412251194567
01/01/2025;01/12/2024;"UMA VK MUSIC";"Russian Federation";thqlabel;"no life";"step into the abyss";свет;3617665710471;DG-A0R-24-03465;;"Music Release";Stream;6;RUB;0.502034111026
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"no life";"step into the abyss";reborn;3617665710471;DG-A0R-24-03460;;"Music Release";Stream;7;RUB;0.215930442766
01/01/2025;01/11/2024;TikTok;Ukraine;thqlabel;"no life";"step into the abyss";"point of no return";3617665710471;DG-A0R-24-03466;;"Music Release";Creation;1;RUB;0.129672055189
01/01/2025;01/11/2024;TikTok;Ukraine;thqlabel;"no life";"step into the abyss";отрава;3617665710471;DG-A0R-24-03468;;"Music Release";Creation;2;RUB;0.259344099495
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;"no life";"step into the abyss";hard;3617665710471;DG-A0R-24-03467;;"Music Release";Stream;3;RUB;0.012600000042
01/02/2025;01/12/2024;Deezer;France;thqlabel;"no life";"step into the abyss";reborn;3617665710471;DG-A0R-24-03460;;"Music Release";Stream;2;RUB;0.445838008034
01/01/2025;01/11/2024;TikTok;Ukraine;thqlabel;"no life";"step into the abyss";reborn;3617665710471;DG-A0R-24-03460;;"Music Release";Creation;1;RUB;0.129672055189
01/03/2025;01/11/2024;Yandex;Worldwide;thqlabel;"no life";"step into the abyss";"I don't exist";3617665710471;DG-A0R-24-03463;;"Music Release";Stream;1;RUB;0.030868929961
