"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.035702006263
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.031088779502
01/02/2025;01/02/2025;"Apple Music";Poland;"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.155853475678
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.044986504047
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;3;RUB;0.067292063138
01/01/2025;01/01/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.106520399995
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.009461158271
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.004200000000
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.059555288602
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.023151696839
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.004200000042
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;4;RUB;0.086348167117
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;4;RUB;0.016800000000
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.018694473376
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.016340355082
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.037188826906
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";oktawa;"press F";"press F";3617220497007;FR-X76-23-23396;;"Music Release";Stream;1;RUB;0.018598744915
