"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.109561885377
01/01/2025;01/01/2025;"YouTube UGC";Germany;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.360417316239
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;2;RUB;0.008400000000
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;4;RUB;0.070325529790
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.059502123435
01/01/2025;01/01/2025;"YouTube UGC";Denmark;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.119528594819
01/01/2025;01/01/2025;"YouTube UGC";Netherlands;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.341538448163
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.004200000042
01/01/2025;01/01/2025;"YouTube UGC";France;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.111723450826
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.030868929961
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.138897394428
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.062984034520
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.004200000000
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.034031593858
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.151397519996
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.046736180357
01/01/2025;01/01/2025;"YouTube UGC";"United Kingdom";"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;2;RUB;0.134180850601
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.065095613890
01/01/2025;01/01/2025;"YouTube UGC";Poland;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.082475293922
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.003219963738
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.058452974808
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;1;RUB;0.040850890381
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"portxlpng, deadrose$";"найти любовь";"найти любовь";3617226592850;DG-A08-23-28618;;"Music Release";Stream;3;RUB;0.064761125356
