"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.008350423625
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.024510532623
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.042539493047
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.007310389446
01/03/2025;01/02/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.021587041761
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.015746007720
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;2;RUB;0.035162764938
01/03/2025;01/02/2025;"Amazon Music Streaming";"United Kingdom";"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;9;RUB;1.453114054395
01/03/2025;01/04/2024;Tidal;"United States";"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;3;RUB;0.339177752631
01/02/2025;01/01/2025;"Amazon Music Streaming";"United States";"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;33;RUB;12.331272752127
01/01/2025;01/12/2024;Soundcloud;Germany;"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.271510275212
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.015936581283
01/01/2025;01/12/2024;"Amazon Music Streaming";"United States";"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;33;RUB;12.406570604191
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;2;RUB;0.008400000000
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.046736180357
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.074394986273
01/02/2025;01/01/2025;"Amazon Music Streaming";"United Kingdom";"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.105485759948
01/03/2025;01/02/2025;"Amazon Music Streaming";"United States";"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;42;RUB;14.643861977212
01/01/2025;01/12/2024;"Amazon Music Streaming";"United Kingdom";"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;5;RUB;2.162247225933
01/02/2025;01/01/2025;Soundcloud;Germany;"трэп хаус квэльчиков";"rockluv, lil fruity";vibes;"vibes Remix";3616849727700;FR-X45-22-00853;;"Music Release";Stream;1;RUB;0.218223540510
