"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/02/2025;Yandex;"Russian Federation";"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;97;RUB;2.064221444923
01/02/2025;01/01/2025;"UMA (Vkontakte)";Kazakhstan;"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;1;RUB;0.004200000000
01/01/2025;01/10/2024;SberZvuk;"Russian Federation";"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;5;RUB;1.208810029769
01/01/2025;01/12/2024;Yandex;"Russian Federation";"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;140;RUB;2.574815846600
01/03/2025;01/02/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;1;RUB;0.120822049358
01/02/2025;01/01/2025;Yandex;Belarus;"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;1;RUB;0.022430687713
01/01/2025;01/11/2024;SberZvuk;"Russian Federation";"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;2;RUB;0.587524883182
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;3;RUB;0.317995870707
01/01/2025;01/12/2024;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;1;RUB;0.127582205246
01/03/2025;01/10/2024;Yandex;Worldwide;"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;1;RUB;2.542980356940
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;49;RUB;1.162425966750
01/03/2025;01/02/2025;Yandex;Uzbekistan;"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;1;RUB;0.021587041761
01/03/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;1;RUB;1.250987507030
01/03/2025;01/09/2024;Yandex;Worldwide;"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;1;RUB;2.958508395294
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;40;RUB;1.454195754838
01/03/2025;01/02/2025;Yandex;Kazakhstan;"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;1;RUB;0.021587041761
01/02/2025;01/01/2025;Yandex;"Russian Federation";"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;63;RUB;1.438139667606
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"romanastasi, mmmyth";ПРОСТИ;ПРОСТИ;3617663541510;DG-A0H-24-97433;;"Music Release";Stream;58;RUB;1.744618922948
