"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;6;RUB;0.129522250712
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.342636490859
01/03/2025;01/02/2024;Yandex;Worldwide;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.168138951916
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.374347526943
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.124197918693
01/03/2025;01/09/2024;Yandex;Worldwide;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.175358927546
01/01/2025;01/11/2024;"Facebook / Instagram";Sweden;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Creation;13;RUB;1.642812034294
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.224333668404
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.188952099845
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;4;RUB;0.140182205288
01/02/2025;01/02/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;2;RUB;0.201576479980
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.182603140313
01/01/2025;01/11/2024;"Facebook / Instagram";India;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Creation;13;RUB;0.058785775573
01/01/2025;01/12/2024;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.083672351838
01/03/2025;01/04/2024;Yandex;Worldwide;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.387863528087
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;8;RUB;0.179445501780
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;3;RUB;0.012600000000
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;32;RUB;0.562604238318
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.200648037834
01/01/2025;01/12/2024;Likee;"Russian Federation";"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;41;RUB;1.293787293294
01/03/2025;01/08/2024;Yandex;Worldwide;"трэп хаус квэльчиков";sqwezbaby!;"ПОМОГИ МНЕ";"ПОМОГИ МНЕ";3617055156278;FR-10S-23-43091;;"Music Release";Stream;1;RUB;0.223184958894
