"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/02/2025;01/01/2025;Spotify;Egypt;thqlabel;"тенда, kweetee";мизантроп;"сестра дура";5063316792002;RU-A1D-24-07370;;"Music Release";Stream;2;RUB;0.124998872150
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"тенда, kweetee";мизантроп;"сестра дура";5063316792002;RU-A1D-24-07370;;"Music Release";Stream;1;RUB;0.157586817902
01/02/2025;01/01/2025;Spotify;Turkey;thqlabel;"тенда, kweetee";мизантроп;"сестра дура";5063316792002;RU-A1D-24-07370;;"Music Release";Stream;2;RUB;0.044999593921
01/01/2025;01/12/2024;Spotify;Egypt;thqlabel;"тенда, kweetee";мизантроп;"сестра дура";5063316792002;RU-A1D-24-07370;;"Music Release";Stream;4;RUB;0.197028907261
01/02/2025;01/01/2025;Spotify;Pakistan;thqlabel;"тенда, kweetee";мизантроп;"сестра дура";5063316792002;RU-A1D-24-07370;;"Music Release";Stream;1;RUB;0.045927420603
01/02/2025;01/01/2025;Spotify;Nigeria;thqlabel;"тенда, kweetee";мизантроп;"сестра дура";5063316792002;RU-A1D-24-07370;;"Music Release";Stream;12;RUB;0.136751348558
01/02/2025;01/01/2025;Spotify;"Czech Republic";thqlabel;"тенда, kweetee";мизантроп;"сестра дура";5063316792002;RU-A1D-24-07370;;"Music Release";Stream;1;RUB;0.158916091839
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;"тенда, kweetee";мизантроп;"сестра дура";5063316792002;RU-A1D-24-07370;;"Music Release";Stream;9;RUB;0.037800000042
01/02/2025;01/01/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"тенда, kweetee";мизантроп;бывшие;5063316792002;RU-A1D-24-07371;;"Music Release";Stream;14;RUB;0.321770838253
01/02/2025;01/01/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"тенда, kweetee";мизантроп;бывшие;5063316792002;RU-A1D-24-07371;;"Music Release";Stream;2;RUB;0.293272237029
01/02/2025;01/01/2025;Spotify;France;thqlabel;"тенда, kweetee";мизантроп;"сестра дура";5063316792002;RU-A1D-24-07370;;"Music Release";Stream;3;RUB;0.069793179546
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";thqlabel;"тенда, kweetee";мизантроп;бывшие;5063316792002;RU-A1D-24-07371;;"Music Release";Stream;5;RUB;0.021000000042
01/01/2025;01/12/2024;Spotify;Nigeria;thqlabel;"тенда, kweetee";мизантроп;"сестра дура";5063316792002;RU-A1D-24-07370;;"Music Release";Stream;16;RUB;0.215280722109
01/03/2025;01/02/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"тенда, kweetee";мизантроп;бывшие;5063316792002;RU-A1D-24-07371;;"Music Release";Stream;12;RUB;0.283644098716
