"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;N0LAMES;3617059023637;FR-X28-23-86529;;"Music Release";Stream;1;RUB;0.008507899189
01/03/2025;01/02/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;!CLUB66LUV;3617059023637;FR-X28-23-86525;;"Music Release";Stream;1;RUB;0.021587041761
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;DRU6L1FE;3617059023637;FR-X28-23-86528;;"Music Release";Stream;1;RUB;0.017015795554
01/03/2025;01/10/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;ONEFLOWW;3617059023637;FR-X28-23-86530;;"Music Release";Stream;1;RUB;0.015746007720
01/03/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;ONEFLOWW;3617059023637;FR-X28-23-86530;;"Music Release";Stream;1;RUB;0.023151696839
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;#TRUENOFALSE;3617059023637;FR-X28-23-86531;;"Music Release";Stream;1;RUB;0.017015795554
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;N0LAMES;3617059023637;FR-X28-23-86529;;"Music Release";Stream;1;RUB;0.009347236651
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;6ONTROLL;3617059023637;FR-X28-23-86524;;"Music Release";Stream;1;RUB;0.007968290678
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;FCKVGENEE6T!ON;3617059023637;FR-X28-23-86527;;"Music Release";Stream;1;RUB;0.008507899189
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;ONEFLOWW;3617059023637;FR-X28-23-86530;;"Music Release";Stream;1;RUB;0.008507899189
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;6ONTROLL;3617059023637;FR-X28-23-86524;;"Music Release";Stream;1;RUB;0.008170177615
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;N0LAMES;3617059023637;FR-X28-23-86529;;"Music Release";Stream;1;RUB;0.008170177615
01/01/2025;01/12/2024;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;"HERO!N FR";3617059023637;FR-X28-23-86526;;"Music Release";Stream;2;RUB;0.008400000000
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;ONEFLOWW;3617059023637;FR-X28-23-86530;;"Music Release";Stream;1;RUB;0.008170177615
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;"HERO!N FR";3617059023637;FR-X28-23-86526;;"Music Release";Stream;1;RUB;0.008507899189
01/01/2025;01/12/2024;Yandex;"Russian Federation";"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;ONEFLOWW;3617059023637;FR-X28-23-86530;;"Music Release";Stream;2;RUB;0.035162764938
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;DRU6L1FE;3617059023637;FR-X28-23-86528;;"Music Release";Stream;1;RUB;0.008170177615
01/03/2025;01/03/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;#TRUENOFALSE;3617059023637;FR-X28-23-86531;;"Music Release";Stream;1;RUB;0.008170177615
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;"HERO!N FR";3617059023637;FR-X28-23-86526;;"Music Release";Stream;1;RUB;0.007968290678
01/01/2025;01/12/2024;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;6ONTROLL;3617059023637;FR-X28-23-86524;;"Music Release";Stream;1;RUB;0.004200000042
01/03/2025;01/06/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;!CLUB66LUV;3617059023637;FR-X28-23-86525;;"Music Release";Stream;1;RUB;0.015936581283
01/03/2025;01/05/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;!CLUB66LUV;3617059023637;FR-X28-23-86525;;"Music Release";Stream;1;RUB;0.051047389413
01/03/2025;01/01/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;ONEFLOWW;3617059023637;FR-X28-23-86530;;"Music Release";Stream;1;RUB;0.046736180357
01/02/2025;01/01/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;FCKVGENEE6T!ON;3617059023637;FR-X28-23-86527;;"Music Release";Stream;1;RUB;0.022430687713
01/03/2025;01/07/2024;Yandex;Worldwide;"трэп хаус квэльчиков";yungxclub!;OP1UM6CLUB;DRU6L1FE;3617059023637;FR-X28-23-86528;;"Music Release";Stream;1;RUB;0.009130156811
