"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;02code;"despair\hopelessness";"despair\hopelessness";3617389856684;DG-A06-24-21704;;"Music Release";Stream;16;RUB;0.316037801202
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;02code;холодно;"холодно Speed Up";3617661429117;DG-A08-24-54734;;"Music Release";Stream;1;RUB;-0.121991679489
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;02code;"despair\hopelessness";"despair\hopelessness";3617389856684;DG-A06-24-21704;;"Music Release";Stream;10;RUB;0.212903508165
01/04/2025;01/03/2025;"UMA (Vkontakte)";Belarus;thqlabel;02code;"despair\hopelessness";"despair\hopelessness";3617389856684;DG-A06-24-21704;;"Music Release";Stream;4;RUB;0.016800000000
01/04/2025;01/04/2025;"YouTube UGC";Italy;thqlabel;02code;"despair\hopelessness";"despair\hopelessness";3617389856684;DG-A06-24-21704;;"Music Release";Stream;1;RUB;0.013101023272
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;02code;холодно;холодно;3617661429117;DG-A08-24-54733;;"Music Release";Stream;15;RUB;0.559366296816
01/04/2025;01/03/2025;"UMA (Vkontakte)";Belarus;thqlabel;02code;холодно;холодно;3617661429117;DG-A08-24-54733;;"Music Release";Stream;4;RUB;0.016800000000
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;02code;"despair\hopelessness";"despair\hopelessness";3617389856684;DG-A06-24-21704;;"Music Release";Stream;18;RUB;0.195422873985
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;02code;холодно;холодно;3617661429117;DG-A08-24-54733;;"Music Release";Stream;2;RUB;0.145270817792
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;02code;холодно;холодно;3617661429117;DG-A08-24-54733;;"Music Release";Stream;3;RUB;0.063871052487
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;02code;"despair\hopelessness";"despair\hopelessness";3617389856684;DG-A06-24-21704;;"Music Release";Stream;1;RUB;-0.098444711511
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;02code;холодно;холодно;3617661429117;DG-A08-24-54733;;"Music Release";Stream;2;RUB;0.043700516681
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;02code;холодно;холодно;3617661429117;DG-A08-24-54733;;"Music Release";Stream;38;RUB;1.119373523527
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;02code;холодно;"холодно Speed Up";3617661429117;DG-A08-24-54734;;"Music Release";Stream;2;RUB;0.008400000000
