"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;Yandex;Ukraine;"Stars Clique";AlwaysAlone;PSYCHO;PSYCHO;3617396595644;FR-X28-25-69263;;"Music Release";Stream;1;RUB;0.003164771929
01/06/2025;01/05/2025;Yandex;Kyrgyzstan;"Stars Clique";AlwaysAlone;PSYCHO;PSYCHO;3617396595644;FR-X28-25-69263;;"Music Release";Stream;1;RUB;0.003164771929
01/06/2025;01/05/2025;Yandex;Kazakhstan;"Stars Clique";AlwaysAlone;PSYCHO;PSYCHO;3617396595644;FR-X28-25-69263;;"Music Release";Stream;2;RUB;0.006329543930
01/06/2025;01/05/2025;Yandex;Turkmenistan;"Stars Clique";AlwaysAlone;PSYCHO;PSYCHO;3617396595644;FR-X28-25-69263;;"Music Release";Stream;2;RUB;0.006329543930
01/06/2025;01/06/2025;"YouTube Official Content";"United States";"Stars Clique";AlwaysAlone;"PRIME MODE, Vol. 1";PSYCHO;3617397190671;FR-X28-25-69263;;"Music Release";Stream;1;RUB;0.355987058277
01/06/2025;01/05/2025;Yandex;"Russian Federation";"Stars Clique";AlwaysAlone;PSYCHO;PSYCHO;3617396595644;FR-X28-25-69263;;"Music Release";Stream;72;RUB;0.440184740974
01/06/2025;01/05/2025;NetEase;"China Mainland";"Stars Clique";AlwaysAlone;PSYCHO;PSYCHO;3617396595644;FR-X28-25-69263;;"Music Release";Stream;2;RUB;0.060915916103
01/06/2025;01/06/2025;"Apple Music";Ukraine;"Stars Clique";AlwaysAlone;PSYCHO;PSYCHO;3617396595644;FR-X28-25-69263;;"Music Release";Stream;1;RUB;0.168011150526
01/06/2025;01/05/2025;Yandex;"Moldova, Republic Of";"Stars Clique";AlwaysAlone;PSYCHO;PSYCHO;3617396595644;FR-X28-25-69263;;"Music Release";Stream;1;RUB;0.003164771929
01/06/2025;01/05/2025;Yandex;Belarus;"Stars Clique";AlwaysAlone;PSYCHO;PSYCHO;3617396595644;FR-X28-25-69263;;"Music Release";Stream;5;RUB;0.033517289801
01/06/2025;01/06/2025;"YouTube Official Content";Spain;"Stars Clique";AlwaysAlone;PSYCHO;PSYCHO;3617396595644;FR-X28-25-69263;;"Music Release";Stream;1;RUB;0.009519553566
