"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/06/2025;"YouTube Official Content";"United Kingdom";"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";DOLLAR$;3617397190671;FR-X45-25-18652;;"Music Release";Stream;1;RUB;0.128650618051
01/06/2025;01/06/2025;"YouTube Official Content";Poland;"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";"DISCO Bounce";3617397190671;FR-X45-25-18647;;"Music Release";Stream;1;RUB;0.161325825377
01/06/2025;01/06/2025;"YouTube Official Content";Germany;"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";DOLLAR$;3617397190671;FR-X45-25-18652;;"Music Release";Stream;2;RUB;1.966691546916
01/06/2025;01/06/2025;"YouTube Official Content";Canada;"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";DOLLAR$;3617397190671;FR-X45-25-18652;;"Music Release";Stream;1;RUB;0.655831251034
01/06/2025;01/06/2025;"YouTube Official Content";Latvia;"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";2+3;3617397190671;FR-X45-25-18645;;"Music Release";Stream;2;RUB;0.623632290324
01/06/2025;01/06/2025;"YouTube Official Content";Estonia;"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";2+3;3617397190671;FR-X45-25-18645;;"Music Release";Stream;1;RUB;0.218165225533
01/06/2025;01/06/2025;"YouTube Official Content";Kazakhstan;"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";2+3;3617397190671;FR-X45-25-18645;;"Music Release";Stream;1;RUB;0.244674599074
01/06/2025;01/06/2025;"YouTube Official Content";Netherlands;"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";SAMURAI;3617397190671;FR-X45-25-18649;;"Music Release";Stream;1;RUB;0.260375733050
01/06/2025;01/06/2025;"YouTube Official Content";"Czech Republic";"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";2+3;3617397190671;FR-X45-25-18645;;"Music Release";Stream;1;RUB;0.080232984143
01/06/2025;01/06/2025;"YouTube Official Content";Ukraine;"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";"DISCO Bounce";3617397190671;FR-X45-25-18647;;"Music Release";Stream;2;RUB;0.130011387101
01/06/2025;01/06/2025;"YouTube Official Content";Portugal;"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";DOLLAR$;3617397190671;FR-X45-25-18652;;"Music Release";Stream;1;RUB;0.237098830284
01/06/2025;01/06/2025;"YouTube Official Content";"Korea, Republic Of";"Stars Clique";"AlwaysAlone, Sencho";"PRIME MODE, Vol. 1";2+3;3617397190671;FR-X45-25-18645;;"Music Release";Stream;1;RUB;0.401983675987
