"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";BLIXOT;мечта;мечта;3617057119684;FR-96X-23-32328;;"Music Release";Stream;7;RUB;0.607563028144
01/04/2025;01/03/2025;Likee;"Russian Federation";"трэп хаус квэльчиков";BLIXOT;мечта;мечта;3617057119684;FR-96X-23-32328;;"Music Release";Stream;3;RUB;0.064566576669
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";BLIXOT;мечта;мечта;3617057119684;FR-96X-23-32328;;"Music Release";Stream;1;RUB;0.124022873985
01/06/2025;01/06/2025;Likee;"Russian Federation";"трэп хаус квэльчиков";BLIXOT;мечта;мечта;3617057119684;FR-96X-23-32328;;"Music Release";Stream;2;RUB;0.053250061737
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";BLIXOT;мечта;мечта;3617057119684;FR-96X-23-32328;;"Music Release";Stream;1;RUB;0.006525178754
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";BLIXOT;мечта;мечта;3617057119684;FR-96X-23-32328;;"Music Release";Stream;1;RUB;0.008627637506
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";BLIXOT;мечта;мечта;3617057119684;FR-96X-23-32328;;"Music Release";Stream;1;RUB;0.002648909769
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";BLIXOT;мечта;мечта;3617057119684;FR-96X-23-32328;;"Music Release";Stream;1;RUB;-0.016055247962
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";BLIXOT;мечта;мечта;3617057119684;FR-96X-23-32328;;"Music Release";Stream;1;RUB;0.002705197699
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";BLIXOT;мечта;мечта;3617057119684;FR-96X-23-32328;;"Music Release";Stream;1;RUB;0.008856851602
