"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";CBmainer;CYB3RLOVE;"Москва тайп трек";3617389854062;DG-A06-24-19553;;"Music Release";Stream;1;RUB;-0.048843786686
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";CBmainer;сайберлав;"Москва тайп трек";3617669979294;FR-2X4-25-16029;;"Music Release";Stream;13;RUB;0.749827358835
01/04/2025;01/03/2025;Yandex;"Russian Federation";"DARKI MUZIK";CBmainer;сайберлав;"Москва тайп трек";3617669979294;FR-2X4-25-16029;;"Music Release";Stream;73;RUB;1.508234328974
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";CBmainer;сайберлав;"Москва тайп трек";3617669979294;FR-2X4-25-16029;;"Music Release";Stream;5;RUB;0.397516565834
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";CBmainer;сайберлав;"Москва тайп трек";3617669979294;FR-2X4-25-16029;;"Music Release";Stream;1;RUB;-0.003819496114
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";CBmainer;сайберлав;"Москва тайп трек";3617669979294;FR-2X4-25-16029;;"Music Release";Stream;82;RUB;1.791721185502
01/05/2025;01/05/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";CBmainer;сайберлав;"Москва тайп трек";3617669979294;FR-2X4-25-16029;;"Music Release";Stream;1;RUB;0.101712239957
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";CBmainer;сайберлав;"Москва тайп трек";3617669979294;FR-2X4-25-16029;;"Music Release";Stream;41;RUB;0.855186280055
01/05/2025;01/04/2025;Yandex;Kazakhstan;"DARKI MUZIK";CBmainer;сайберлав;"Москва тайп трек";3617669979294;FR-2X4-25-16029;;"Music Release";Stream;1;RUB;0.021850258413
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";CBmainer;сайберлав;"Москва тайп трек";3617669979294;FR-2X4-25-16029;;"Music Release";Stream;1;RUB;0.004200000038
01/04/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";CBmainer;CYB3RLOVE;"Москва тайп трек";3617389854062;DG-A06-24-19553;;"Music Release";Stream;-1;RUB;-0.474298907106
