"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"lunar eclipse";3617053445619;DG-A06-22-96603;;"Music Release";Stream;105;RUB;2.128243847669
01/05/2025;01/04/2025;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"dear scary autumn ...";3617053445619;DG-A06-22-96605;;"Music Release";Stream;2;RUB;0.001586435298
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";СИЛА-3;3617053445619;DG-A06-22-96602;;"Music Release";Stream;51;RUB;1.096563652539
01/04/2025;01/03/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"perfect blue~";3617053445619;DG-A06-22-96601;;"Music Release";Stream;1;RUB;0.021290350854
01/06/2025;01/05/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"lunar eclipse";3617053445619;DG-A06-22-96603;;"Music Release";Stream;3;RUB;0.062574605898
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";limfa;3617053445619;DG-A06-22-96610;;"Music Release";Stream;1;RUB;0.084961761422
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"half-blood prince";3617053445619;DG-A06-22-96600;;"Music Release";Stream;66;RUB;1.388718480270
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"lunar eclipse";3617053445619;DG-A06-22-96603;;"Music Release";Stream;-1;RUB;-0.314695333200
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"evil winter";3617053445619;DG-A06-22-96613;;"Music Release";Stream;14;RUB;0.178771690460
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";СИЛА-3;3617053445619;DG-A06-22-96602;;"Music Release";Stream;1;RUB;0.028548663706
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"velour coma review";3617053445619;DG-A06-22-96607;;"Music Release";Stream;-1;RUB;-0.120605577485
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"half-blood prince";3617053445619;DG-A06-22-96600;;"Music Release";Stream;70;RUB;1.459683703326
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";СИЛА-3;3617053445619;DG-A06-22-96602;;"Music Release";Stream;-1;RUB;-0.296380719891
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"velour coma review";3617053445619;DG-A06-22-96607;;"Music Release";Stream;6;RUB;0.127742104899
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"dark theme unlocked";3617053445619;DG-A06-22-96599;;"Music Release";Stream;7;RUB;0.135152284695
01/04/2025;01/03/2025;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"half-blood prince";3617053445619;DG-A06-22-96600;;"Music Release";Stream;1;RUB;0.004200000038
01/05/2025;01/04/2025;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";СИЛА-3;3617053445619;DG-A06-22-96602;;"Music Release";Stream;1;RUB;0.004200000000
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"perfect blue~";3617053445619;DG-A06-22-96601;;"Music Release";Stream;1;RUB;0.124022873985
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"velour coma review";3617053445619;DG-A06-22-96607;;"Music Release";Stream;1;RUB;0.017255275089
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"99% lethal";3617053445619;DG-A06-22-96611;;"Music Release";Stream;41;RUB;0.860261545014
01/04/2025;01/03/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";limfa;3617053445619;DG-A06-22-96610;;"Music Release";Stream;2;RUB;0.042580701633
01/06/2025;01/06/2025;"YouTube Official Content";Ukraine;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"half-blood prince";3617053445619;DG-A06-22-96600;;"Music Release";Stream;42;RUB;1.623834341426
01/06/2025;01/06/2025;"YouTube Official Content";Ukraine;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"dear scary autumn ...";3617053445619;DG-A06-22-96605;;"Music Release";Stream;30;RUB;1.159881672582
01/06/2025;01/06/2025;"Apple Music";Ukraine;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";СИЛА-3;3617053445619;DG-A06-22-96602;;"Music Release";Stream;1;RUB;0.168011150526
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"dark theme unlocked";3617053445619;DG-A06-22-96599;;"Music Release";Stream;1;RUB;-0.037464371844
01/05/2025;01/04/2025;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"НОВОЕ СОЛНЦЕ";3617053445619;DG-A06-22-96609;;"Music Release";Stream;1;RUB;0.064042510101
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";СИЛА-3;3617053445619;DG-A06-22-96602;;"Music Release";Stream;4;RUB;0.016800000000
01/06/2025;01/06/2025;"YouTube Official Content";Ukraine;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"НОВОЕ СОЛНЦЕ";3617053445619;DG-A06-22-96609;;"Music Release";Stream;33;RUB;1.275869839702
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"dear scary autumn ...";3617053445619;DG-A06-22-96605;;"Music Release";Stream;61;RUB;1.190469569263
01/05/2025;01/05/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";СИЛА-3;3617053445619;DG-A06-22-96602;;"Music Release";Stream;2;RUB;0.245218959935
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"blakk onyxx";3617053445619;DG-A06-22-96604;;"Music Release";Stream;-1;RUB;-0.226920624494
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";limfa;3617053445619;DG-A06-22-96610;;"Music Release";Stream;35;RUB;0.764759042637
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"dear scary autumn ...";3617053445619;DG-A06-22-96605;;"Music Release";Stream;1;RUB;0.020374246784
01/05/2025;01/04/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"dear scary autumn ...";3617053445619;DG-A06-22-96605;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/05/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"perfect blue~";3617053445619;DG-A06-22-96601;;"Music Release";Stream;4;RUB;0.276759279955
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"half-blood prince";3617053445619;DG-A06-22-96600;;"Music Release";Stream;6;RUB;0.645085280018
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"evil winter";3617053445619;DG-A06-22-96613;;"Music Release";Stream;6;RUB;0.125149211724
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"99% lethal";3617053445619;DG-A06-22-96611;;"Music Release";Stream;2;RUB;0.205029499555
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"perfect blue~";3617053445619;DG-A06-22-96601;;"Music Release";Stream;1;RUB;-0.206501110973
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"dark theme unlocked";3617053445619;DG-A06-22-96599;;"Music Release";Stream;1;RUB;0.021266323306
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"blakk onyxx";3617053445619;DG-A06-22-96604;;"Music Release";Stream;1;RUB;0.044284257187
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";СИЛА-3;3617053445619;DG-A06-22-96602;;"Music Release";Stream;1;RUB;0.612978118325
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"perfect blue~";3617053445619;DG-A06-22-96601;;"Music Release";Stream;1;RUB;0.124171690422
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";limfa;3617053445619;DG-A06-22-96610;;"Music Release";Stream;1;RUB;0.015437956668
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"99% lethal";3617053445619;DG-A06-22-96611;;"Music Release";Stream;1;RUB;0.030196731386
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"evil winter";3617053445619;DG-A06-22-96613;;"Music Release";Stream;1;RUB;0.031202644026
01/06/2025;01/05/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"НОВОЕ СОЛНЦЕ";3617053445619;DG-A06-22-96609;;"Music Release";Stream;1;RUB;0.129581197778
01/04/2025;01/03/2025;Yandex;Belarus;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"99% lethal";3617053445619;DG-A06-22-96611;;"Music Release";Stream;2;RUB;0.042580701633
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"evil winter";3617053445619;DG-A06-22-96613;;"Music Release";Stream;1;RUB;0.011446858494
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"half-blood prince";3617053445619;DG-A06-22-96600;;"Music Release";Stream;1;RUB;0.018098081120
01/04/2025;01/04/2025;"YouTube Official Content";"Czech Republic";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"lunar eclipse";3617053445619;DG-A06-22-96603;;"Music Release";Stream;1;RUB;0.123178299071
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"evil winter";3617053445619;DG-A06-22-96613;;"Music Release";Stream;1;RUB;-0.067533060666
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"blakk onyxx";3617053445619;DG-A06-22-96604;;"Music Release";Stream;1;RUB;0.015766926768
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";limfa;3617053445619;DG-A06-22-96610;;"Music Release";Stream;1;RUB;0.038824368968
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";СИЛА-3;3617053445619;DG-A06-22-96602;;"Music Release";Stream;1;RUB;0.378059528490
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"dark theme unlocked";3617053445619;DG-A06-22-96599;;"Music Release";Stream;1;RUB;0.021569093879
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"dark theme unlocked";3617053445619;DG-A06-22-96599;;"Music Release";Stream;4;RUB;0.083432807841
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"99% lethal";3617053445619;DG-A06-22-96611;;"Music Release";Stream;1;RUB;0.025996414696
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";СИЛА-3;3617053445619;DG-A06-22-96602;;"Music Release";Stream;4;RUB;0.392894880034
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"dear scary autumn ...";3617053445619;DG-A06-22-96605;;"Music Release";Stream;149;RUB;2.988417149322
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"perfect blue~";3617053445619;DG-A06-22-96601;;"Music Release";Stream;46;RUB;0.740926904982
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"lunar eclipse";3617053445619;DG-A06-22-96603;;"Music Release";Stream;126;RUB;2.628535886448
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"lunar eclipse";3617053445619;DG-A06-22-96603;;"Music Release";Stream;31;RUB;0.419662718034
01/04/2025;01/04/2025;"Apple Music";Australia;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"lunar eclipse";3617053445619;DG-A06-22-96603;;"Music Release";Stream;1;RUB;0.089406746917
01/04/2025;01/03/2025;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"blakk onyxx";3617053445619;DG-A06-22-96604;;"Music Release";Stream;1;RUB;0.004200000038
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";limfa;3617053445619;DG-A06-22-96610;;"Music Release";Stream;49;RUB;1.027906763207
01/06/2025;01/06/2025;"Apple Music";Australia;"трэп хаус квэльчиков";DELFIKSTAF;"кесарево онлайн*";"НОВОЕ СОЛНЦЕ";3617053445619;DG-A06-22-96609;;"Music Release";Stream;1;RUB;0.087363224039
