"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/02/2025;"Facebook / Instagram";Egypt;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.000616578815
01/04/2025;01/01/2025;"Facebook / Instagram";"United States";"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;4;RUB;0.026637518294
01/04/2025;01/01/2025;"Facebook / Instagram";Ukraine;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;6;RUB;0.003636007127
01/04/2025;01/01/2025;"Facebook / Instagram";"Hong Kong";"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.016568534770
01/04/2025;01/01/2025;"Facebook / Instagram";Denmark;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.005287548821
01/04/2025;01/03/2025;"Facebook / Instagram";Japan;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.003221522095
01/04/2025;01/03/2025;"Facebook / Instagram";Denmark;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.005407796302
01/04/2025;01/01/2025;"Facebook / Instagram";Austria;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.003789187064
01/04/2025;01/01/2025;"Facebook / Instagram";Netherlands;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;4;RUB;0.015316571523
01/04/2025;01/03/2025;"Facebook / Instagram";Ukraine;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.000619783056
01/04/2025;01/03/2025;"Facebook / Instagram";"United States";"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.006810824895
01/04/2025;01/01/2025;"Facebook / Instagram";Japan;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.003149888454
01/04/2025;01/01/2025;"Facebook / Instagram";France;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;3;RUB;0.025791766998
01/04/2025;01/02/2025;"Facebook / Instagram";Germany;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.003300513951
01/04/2025;01/01/2025;"Facebook / Instagram";Poland;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.001391811163
01/05/2025;01/04/2025;"Facebook / Instagram";"United States";"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.006503455587
01/04/2025;01/03/2025;"Facebook / Instagram";Germany;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.003098925178
01/04/2025;01/01/2025;"Facebook / Instagram";Switzerland;"DARKI MUZIK";DUNKE;"Я Существую";"Я Существую";4631165046419;AE-A2Z-23-19499;;"Music Release";Stream;1;RUB;0.010648345888
