"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;69;RUB;1.421522504634
01/05/2025;01/04/2025;Yandex;Uzbekistan;"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;4;RUB;0.087401033434
01/04/2025;01/04/2025;"Apple Music";"United States";"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;1;RUB;0.352692527118
01/05/2025;01/04/2025;"Amazon Music Streaming";"United Kingdom";"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;1;RUB;0.103659880430
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;6;RUB;0.744137244128
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;424;RUB;9.228910496898
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;109;RUB;3.470419794377
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;9;RUB;0.037800000036
01/05/2025;01/04/2025;Yandex;Kazakhstan;"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;3;RUB;0.065550775094
01/05/2025;01/05/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;2;RUB;0.194752320034
01/04/2025;01/04/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;22;RUB;1.618345119996
01/05/2025;01/04/2025;Yandex;Belarus;"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;6;RUB;0.113302026282
01/04/2025;01/04/2025;"YouTube Official Content";"United Kingdom";"DARKI MUZIK";"D'Vorah, щкёрт";"Rock The Car";"Rock The Car";3617393245603;FR-96X-25-46651;;"Music Release";Stream;1;RUB;0.099135282699
