"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;"Немногословен Bonus track";3617221167503;FR-X76-23-97655;;"Music Release";Stream;1;RUB;0.006432532798
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;"Немногословен Bonus track";3617221167503;FR-X76-23-97655;;"Music Release";Stream;1;RUB;0.006298688881
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;Май;3617221167503;FR-X76-23-97653;;"Music Release";Stream;1;RUB;0.025882912595
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;"Их Не Будет Там";3617221167503;FR-X76-23-97652;;"Music Release";Stream;1;RUB;0.011013896598
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;Слово;3617221167503;FR-X76-23-97654;;"Music Release";Stream;1;RUB;0.017625144799
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;Май;3617221167503;FR-X76-23-97653;;"Music Release";Stream;1;RUB;0.006822984156
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;Слово;3617221167503;FR-X76-23-97654;;"Music Release";Stream;1;RUB;0.017258412506
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;Слово;3617221167503;FR-X76-23-97654;;"Music Release";Stream;1;RUB;0.043138187684
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;"Немногословен Bonus track";3617221167503;FR-X76-23-97655;;"Music Release";Stream;1;RUB;0.030196731386
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;"Их Не Будет Там";3617221167503;FR-X76-23-97652;;"Music Release";Stream;1;RUB;0.011247936230
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;"Их Не Будет Там";3617221167503;FR-X76-23-97652;;"Music Release";Stream;1;RUB;0.034510550177
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";DisMask;Примавера;Май;3617221167503;FR-X76-23-97653;;"Music Release";Stream;1;RUB;0.006681016019
