"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/05/2025;Yandex;"Russian Federation";thqlabel;Drunkendogs;"Девочки из группы Radopi";"Девочки из группы Radopi";3617390486948;FR-2X4-25-47978;;"Music Release";Stream;22;RUB;0.458880442941
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;Drunkendogs;"Девочки из группы Radopi";"Девочки из группы Radopi";3617390486948;FR-2X4-25-47978;;"Music Release";Stream;1;RUB;0.124022873985
01/04/2025;01/04/2025;"YouTube Official Content";Ukraine;thqlabel;Drunkendogs;"Девочки из группы Radopi";"Девочки из группы Radopi";3617390486948;FR-2X4-25-47978;;"Music Release";Stream;1;RUB;0.026476227389
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;Drunkendogs;"Девочки из группы Radopi";"Девочки из группы Radopi";3617390486948;FR-2X4-25-47978;;"Music Release";Stream;12;RUB;0.255484209798
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;Drunkendogs;"Девочки из группы Radopi";"Девочки из группы Radopi";3617390486948;FR-2X4-25-47978;;"Music Release";Stream;1;RUB;-0.000256624862
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Drunkendogs;"Девочки из группы Radopi";"Девочки из группы Radopi";3617390486948;FR-2X4-25-47978;;"Music Release";Stream;14;RUB;0.195670817792
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Drunkendogs;"Девочки из группы Radopi";"Девочки из группы Radopi";3617390486948;FR-2X4-25-47978;;"Music Release";Stream;1;RUB;0.004200000036
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";thqlabel;Drunkendogs;"Девочки из группы Radopi";"Девочки из группы Radopi";3617390486948;FR-2X4-25-47978;;"Music Release";Stream;1;RUB;0.099918560025
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;Drunkendogs;"Девочки из группы Radopi";"Девочки из группы Radopi";3617390486948;FR-2X4-25-47978;;"Music Release";Stream;4;RUB;0.087401033434
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Drunkendogs;"Девочки из группы Radopi";"Девочки из группы Radopi";3617390486948;FR-2X4-25-47978;;"Music Release";Stream;6;RUB;0.025200000000
