"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;"Facebook / Instagram";Ukraine;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.000591813263
01/04/2025;01/03/2025;"UMA VK MUSIC";"Russian Federation";"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.124171690422
01/06/2025;01/05/2025;"Facebook / Instagram";Sweden;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.003228328755
01/05/2025;01/04/2025;"Facebook / Instagram";Denmark;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.005163744202
01/04/2025;01/02/2025;"Facebook / Instagram";"United Kingdom";"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.004345069682
01/06/2025;01/05/2025;"Facebook / Instagram";Germany;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.002997732851
01/06/2025;01/05/2025;"Facebook / Instagram";Netherlands;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.003788343386
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;3;RUB;0.299755680002
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;18;RUB;0.795430142608
01/05/2025;01/04/2025;"Facebook / Instagram";"Czech Republic";"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.001125097001
01/05/2025;01/04/2025;"Facebook / Instagram";France;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.008395963758
01/06/2025;01/05/2025;"Facebook / Instagram";"Serbia And Montenegro";"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.000289892495
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;-0.417211444679
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;15;RUB;0.382083765467
01/05/2025;01/04/2025;"Facebook / Instagram";Canada;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.003277740334
01/05/2025;01/04/2025;"Facebook / Instagram";Latvia;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.001034050706
01/05/2025;01/05/2025;"Apple Music";Japan;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;2;RUB;0.266783231530
01/06/2025;01/05/2025;"Facebook / Instagram";Turkey;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.000685197762
01/06/2025;01/05/2025;Yandex;"Russian Federation";"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;26;RUB;0.542313250781
01/06/2025;01/05/2025;"Facebook / Instagram";Finland;"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;1;RUB;0.003491865600
01/05/2025;01/04/2025;Yandex;"Russian Federation";"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;51;RUB;1.114363176371
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"Million dollar music";"Ecsta, legrinn";"холод зимы";"холод зимы Remix";3617662448087;DG-A0M-24-23299;;"Music Release";Stream;12;RUB;0.529691496086
