"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/06/2025;Likee;"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;1;RUB;0.026625030869
01/04/2025;01/03/2025;Yandex;Belarus;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;1;RUB;0.021290350854
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;-1;RUB;-0.029182994720
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;1;RUB;0.020858201942
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;1;RUB;0.035281838511
01/06/2025;01/05/2025;"Ultimate Music";"China Mainland";"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;1;RUB;0.016979518061
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;8;RUB;0.158981197814
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;10;RUB;0.641858452298
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;76;RUB;1.479062768450
01/05/2025;01/04/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;2;RUB;0.043700516681
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;1;RUB;0.052589626898
01/04/2025;01/03/2025;Likee;"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;7;RUB;0.150655345535
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;150;RUB;3.132270914969
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;1;RUB;0.031051604492
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;144;RUB;3.021840536937
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;1;RUB;0.075031425639
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;1;RUB;0.040677504234
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;2;RUB;0.043700516681
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;1;RUB;-0.115374700746
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;1;RUB;0.036031559258
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;4;RUB;0.136622873985
01/04/2025;01/03/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"GODZHATOV, D.Rayd";"My w0rld 1s d3feated";"Двойной пароль";3617050858023;FR-X76-22-21138;;"Music Release";Stream;5;RUB;0.106451754120
