"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/06/2025;"YouTube Official Content";Hungary;glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;1;RUB;0.150360171534
01/06/2025;01/06/2025;"YouTube Official Content";Netherlands;glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;9;RUB;0.511915134206
01/06/2025;01/05/2025;Yandex;Georgia;glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;24;RUB;0.500596846897
01/06/2025;01/06/2025;"YouTube Official Content";Poland;glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;1;RUB;0.291340778276
01/05/2025;01/05/2025;"YouTube Official Content";Ukraine;glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;5;RUB;0.227966581755
01/05/2025;01/05/2025;"YouTube Official Content";Germany;glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;15;RUB;0.854826114622
01/06/2025;01/06/2025;"YouTube Official Content";Sweden;glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;1;RUB;0.182260735729
01/06/2025;01/06/2025;"YouTube Official Content";"United Kingdom";glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;3;RUB;0.507565290282
01/05/2025;01/05/2025;"YouTube Official Content";France;glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;1;RUB;0.515414313309
01/05/2025;01/05/2025;"YouTube Official Content";"United Kingdom";glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;7;RUB;0.395231669502
01/06/2025;01/05/2025;Yandex;Armenia;glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;1;RUB;0.020858201942
01/05/2025;01/05/2025;"YouTube Official Content";Denmark;glookipail;GlookiPail;Розовый;Розовый;3617395827906;FR-X28-25-14873;;"Music Release";Stream;12;RUB;0.460618662795
