"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";"Holaboy, PUL$AR!";Звезда;Звезда;3617055419151;FR-10S-23-84010;;"Music Release";Stream;3;RUB;0.065550775094
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Holaboy, PUL$AR!";Звезда;Звезда;3617055419151;FR-10S-23-84010;;"Music Release";Stream;173;RUB;3.608468937698
01/05/2025;01/04/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"Holaboy, PUL$AR!";Звезда;Звезда;3617055419151;FR-10S-23-84010;;"Music Release";Stream;1;RUB;0.021850258413
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Holaboy, PUL$AR!";Звезда;Звезда;3617055419151;FR-10S-23-84010;;"Music Release";Stream;21;RUB;0.431776940345
01/05/2025;01/04/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";"Holaboy, PUL$AR!";Звезда;Звезда;3617055419151;FR-10S-23-84010;;"Music Release";Stream;1;RUB;0.021850258413
01/06/2025;01/05/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"Holaboy, PUL$AR!";Звезда;Звезда;3617055419151;FR-10S-23-84010;;"Music Release";Stream;2;RUB;0.041716403884
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"Holaboy, PUL$AR!";Звезда;Звезда;3617055419151;FR-10S-23-84010;;"Music Release";Stream;1;RUB;-0.000481692782
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";"Holaboy, PUL$AR!";Звезда;Звезда;3617055419151;FR-10S-23-84010;;"Music Release";Stream;1;RUB;0.004313818791
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Holaboy, PUL$AR!";Звезда;Звезда;3617055419151;FR-10S-23-84010;;"Music Release";Stream;131;RUB;2.808985273696
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";"Holaboy, PUL$AR!";Звезда;Звезда;3617055419151;FR-10S-23-84010;;"Music Release";Stream;2;RUB;0.041716403884
