"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Я люблю тебя одиночество";3617226384523;DG-A07-23-91641;;"Music Release";Stream;1;RUB;11.219786952426
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";Верни;3617226384523;DG-A07-23-91644;;"Music Release";Stream;1;RUB;-3.378639551090
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Да сколько можно";3617226384523;DG-A07-23-91645;;"Music Release";Stream;1;RUB;-2.890699285454
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Я люблю тебя одиночество";3617226384523;DG-A07-23-91641;;"Music Release";Stream;1;RUB;-3.096365881937
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Что со мной";3617226384523;DG-A07-23-91647;;"Music Release";Stream;1;RUB;15.464225202214
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Вымышленный город";3617226384523;DG-A07-23-91640;;"Music Release";Stream;1;RUB;-1.383732450850
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Хочу чтоб стало тише";3617226384523;DG-A07-23-91642;;"Music Release";Stream;1;RUB;-3.514178051954
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Я люблю тебя одиночество";3617226384523;DG-A07-23-91641;;"Music Release";Stream;1;RUB;4.288143077051
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Мучаюсь от боли";3617226384523;DG-A07-23-91648;;"Music Release";Stream;1;RUB;-1.956700828939
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Пропаду в лесу";3617226384523;DG-A07-23-91646;;"Music Release";Stream;1;RUB;5.491476674550
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Не залечить";3617226384523;DG-A07-23-91639;;"Music Release";Stream;1;RUB;-1.594064829817
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Не залечить";3617226384523;DG-A07-23-91639;;"Music Release";Stream;1;RUB;4.505132308881
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Не плачь";3617226384523;DG-A07-23-91638;;"Music Release";Stream;1;RUB;6.606241512403
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Мучаюсь от боли";3617226384523;DG-A07-23-91648;;"Music Release";Stream;1;RUB;9.961344843047
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Что со мной";3617226384523;DG-A07-23-91647;;"Music Release";Stream;1;RUB;3.812998008869
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Да сколько можно";3617226384523;DG-A07-23-91645;;"Music Release";Stream;1;RUB;5.170646249443
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Пропаду в лесу";3617226384523;DG-A07-23-91646;;"Music Release";Stream;1;RUB;13.555893792303
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Не плачь";3617226384523;DG-A07-23-91638;;"Music Release";Stream;1;RUB;4.766118926658
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Не плачь";3617226384523;DG-A07-23-91638;;"Music Release";Stream;1;RUB;-1.596391027198
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";Верни;3617226384523;DG-A07-23-91644;;"Music Release";Stream;1;RUB;11.787724147562
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Мучаюсь от боли";3617226384523;DG-A07-23-91648;;"Music Release";Stream;1;RUB;3.835973089939
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Ты не знаешь";3617226384523;DG-A07-23-91643;;"Music Release";Stream;1;RUB;3.024584566398
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Ты не знаешь";3617226384523;DG-A07-23-91643;;"Music Release";Stream;1;RUB;-1.772380757894
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Ничего живого нет";3617226384523;DG-A07-23-91637;;"Music Release";Stream;1;RUB;-2.037110057533
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Ничего живого нет";3617226384523;DG-A07-23-91637;;"Music Release";Stream;1;RUB;7.903493205338
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Это я";3617226384523;DG-A07-23-91649;;"Music Release";Stream;1;RUB;5.124857983993
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Пропаду в лесу";3617226384523;DG-A07-23-91646;;"Music Release";Stream;1;RUB;-2.715314411926
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Это я";3617226384523;DG-A07-23-91649;;"Music Release";Stream;1;RUB;6.671120041390
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Это я";3617226384523;DG-A07-23-91649;;"Music Release";Stream;1;RUB;-1.450737464302
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Да сколько можно";3617226384523;DG-A07-23-91645;;"Music Release";Stream;1;RUB;18.593746424285
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Вымышленный город";3617226384523;DG-A07-23-91640;;"Music Release";Stream;1;RUB;6.897834454195
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Ничего живого нет";3617226384523;DG-A07-23-91637;;"Music Release";Stream;1;RUB;6.465926255517
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Вымышленный город";3617226384523;DG-A07-23-91640;;"Music Release";Stream;1;RUB;3.083244006295
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";Верни;3617226384523;DG-A07-23-91644;;"Music Release";Stream;1;RUB;3.887133996744
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Хочу чтоб стало тише";3617226384523;DG-A07-23-91642;;"Music Release";Stream;1;RUB;19.638257788926
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Что со мной";3617226384523;DG-A07-23-91647;;"Music Release";Stream;1;RUB;-2.764263431151
01/04/2025;01/08/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Хочу чтоб стало тише";3617226384523;DG-A07-23-91642;;"Music Release";Stream;1;RUB;5.442152736714
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Не залечить";3617226384523;DG-A07-23-91639;;"Music Release";Stream;1;RUB;9.709106124129
01/04/2025;01/09/2023;Yandex;Worldwide;"rplus / трэп хаус квэльчиков";Hxxic999;"13 осколков состояния";"Ты не знаешь";3617226384523;DG-A07-23-91643;;"Music Release";Stream;1;RUB;8.724309246263
