"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;"Amazon Music Streaming";"United States";"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;1;RUB;0.116293371903
01/04/2025;01/11/2024;Yandex;Worldwide;"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;-1;RUB;-0.062013863425
01/06/2025;01/06/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;1;RUB;0.037033920032
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;1;RUB;-0.078090175911
01/06/2025;01/05/2025;Yandex;"Russian Federation";"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;20;RUB;0.417164039057
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;3;RUB;0.137981197778
01/04/2025;01/04/2025;"YouTube Official Content";Kazakhstan;"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;1;RUB;0.025223485070
01/05/2025;01/04/2025;"UMA (Odnoklassniki)";"Russian Federation";"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;1;RUB;0.004200000000
01/05/2025;01/04/2025;Yandex;"Russian Federation";"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;36;RUB;0.751010253240
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;6;RUB;0.341801190090
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;1;RUB;0.072635408896
01/04/2025;01/03/2025;Yandex;"Russian Federation";"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;48;RUB;1.021936839193
01/05/2025;01/04/2025;Yandex;Kazakhstan;"DARKI MUZIK";"ILUV, Yaggi";"С Другой Планеты";"С Другой Планеты";3617663536479;DG-A0H-24-96562;;"Music Release";Stream;2;RUB;0.043700516681
