"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;1;RUB;-0.001845591823
01/04/2025;01/02/2025;Deezer;"United States";"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;2;RUB;0.651769732321
01/05/2025;01/04/2025;Yandex;"Russian Federation";"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;13;RUB;0.284053358714
01/04/2025;01/03/2025;Yandex;Belarus;"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;2;RUB;0.042580701633
01/06/2025;01/06/2025;"YouTube Official Content";Guatemala;"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;1;RUB;0.006103445855
01/06/2025;01/02/2025;Deezer;France;"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;1;RUB;-0.028897164835
01/04/2025;01/02/2025;Deezer;France;"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;7;RUB;2.480567583763
01/06/2025;01/06/2025;"YouTube Official Content";Ukraine;"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;1;RUB;0.028831949438
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;3;RUB;0.252543380957
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;2;RUB;0.008400000000
01/06/2025;01/05/2025;Yandex;"Russian Federation";"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;11;RUB;0.229440221434
01/05/2025;01/04/2025;Yandex;Belarus;"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;1;RUB;0.021850258413
01/04/2025;01/03/2025;Yandex;"Russian Federation";"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;67;RUB;1.349851370395
01/04/2025;01/02/2025;Deezer;Germany;"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;2;RUB;0.884445784438
01/04/2025;01/04/2025;"YouTube Official Content";Ukraine;"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;1;RUB;0.032691756670
01/04/2025;01/02/2025;Deezer;"United Kingdom";"Stars Clique";JAVELIN;Ненавижу;Ненавижу;3617669386221;FR-10S-25-80833;;"Music Release";Stream;2;RUB;0.757616056672
