"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;135;RUB;2.908592009195
01/04/2025;01/08/2023;Yandex;Worldwide;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.065678496594
01/05/2025;01/03/2023;Yandex;Worldwide;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.045819536438
01/05/2025;01/06/2023;Yandex;Worldwide;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.046118985292
01/04/2025;01/03/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;20;RUB;3.287757504871
01/04/2025;01/07/2023;Yandex;Worldwide;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.189808028898
01/06/2025;01/05/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;84;RUB;1.896888163790
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;6;RUB;0.401343593295
01/04/2025;01/09/2023;Yandex;Worldwide;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.018535375116
01/05/2025;01/04/2025;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.004200000000
01/04/2025;01/03/2025;Yandex;Belarus;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;6;RUB;0.127742104899
01/04/2025;01/11/2024;Yandex;Worldwide;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;-1;RUB;-0.222746059306
01/05/2025;01/04/2025;Yandex;Belarus;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.021850258413
01/06/2025;01/05/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;2;RUB;0.024022973870
01/04/2025;01/03/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;173;RUB;3.697747681597
01/04/2025;01/03/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/12/2023;Yandex;Worldwide;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.045159371983
01/06/2025;01/05/2025;Yandex;Belarus;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.020858201942
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;-0.131923817659
01/05/2025;01/04/2025;Yandex;"Moldova, Republic Of";"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.021850258413
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;17;RUB;1.988565984342
01/05/2025;01/04/2025;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";KIDRONIN;Доверять;Доверять;3617055420874;FR-10S-23-84180;;"Music Release";Stream;1;RUB;0.004200000000
