"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/05/2025;01/04/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";ИЗ;3617393518738;FR-96X-25-63260;;"Music Release";Stream;3;RUB;0.012600000000
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;Kolpachello;"Зумер Флеш Энергия";"Грустную Музыку";3617667875253;DG-A0T-24-19892;;"Music Release";Stream;1;RUB;-0.000117716400
01/06/2025;01/05/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";"МЫ СТРЕЛЯЕМ";3617393518738;FR-96X-25-63258;;"Music Release";Stream;1;RUB;0.004200000036
01/05/2025;01/05/2025;"YouTube Official Content";Ukraine;thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";"МЫ СТРЕЛЯЕМ";3617393518738;FR-96X-25-63258;;"Music Release";Stream;3;RUB;0.127119391438
01/05/2025;01/04/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";"New York";3617393518738;FR-96X-25-63267;;"Music Release";Stream;1;RUB;0.160274240007
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";"New York";3617393518738;FR-96X-25-63267;;"Music Release";Stream;9;RUB;0.362929100673
01/04/2025;01/03/2025;Yandex;Kazakhstan;thqlabel;Kolpachello;"Зумер Флеш Энергия";"Директор Филиала";3617667875253;DG-A0T-24-19885;;"Music Release";Stream;1;RUB;0.021290350854
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";"ПОЛИНА КОЩЕЕВА";3617393518738;FR-96X-25-63262;;"Music Release";Stream;19;RUB;0.986995527082
01/04/2025;01/03/2025;Yandex;"Russian Federation";thqlabel;Kolpachello;"Зумер Флеш Энергия";ЯКОВ;3617667875253;DG-A0T-24-19893;;"Music Release";Stream;6;RUB;0.127742104899
01/05/2025;01/05/2025;"YouTube Official Content";Netherlands;thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";"МЫ СТРЕЛЯЕМ";3617393518738;FR-96X-25-63258;;"Music Release";Stream;2;RUB;0.147557191374
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";OnlyPodic;3617393518738;FR-96X-25-63259;;"Music Release";Stream;2;RUB;0.043700516681
01/06/2025;01/02/2025;"UMA (Vkontakte)";Worldwide;thqlabel;Kolpachello;"Зумер Флеш Энергия";ЯКОВ;3617667875253;DG-A0T-24-19893;;"Music Release";Stream;1;RUB;-0.000056064690
01/06/2025;01/05/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";"Завайбиться Под Лиззка Атева Атева";3617393518738;FR-96X-25-63257;;"Music Release";Stream;1;RUB;0.004200000036
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";"Завайбиться Под Лиззка Атева Атева";3617393518738;FR-96X-25-63257;;"Music Release";Stream;19;RUB;0.420479226400
01/04/2025;01/03/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;Kolpachello;"Зумер Флеш Энергия";ДЭСК;3617667875253;DG-A0T-24-19887;;"Music Release";Stream;5;RUB;0.021000000038
01/06/2025;01/05/2025;"UMA (Odnoklassniki)";Belarus;thqlabel;Kolpachello;"Зумер Флеш Энергия";"Большие Окна";3617667875253;DG-A0T-24-19890;;"Music Release";Stream;1;RUB;0.004200000036
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";"Никогда Не Пить Воду";3617393518738;FR-96X-25-63263;;"Music Release";Stream;32;RUB;0.562304030997
01/05/2025;01/04/2025;Yandex;"Russian Federation";thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";ИЗ;3617393518738;FR-96X-25-63260;;"Music Release";Stream;2;RUB;0.043700516681
01/05/2025;01/04/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";Бесконечность;3617393518738;FR-96X-25-63266;;"Music Release";Stream;1;RUB;0.004200000000
01/06/2025;01/06/2025;"YouTube Official Content";Germany;thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";"МЫ СТРЕЛЯЕМ";3617393518738;FR-96X-25-63258;;"Music Release";Stream;1;RUB;0.152472276166
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";СВИНГОБИМБОДАБСТЕП;3617393518738;FR-96X-25-63265;;"Music Release";Stream;6;RUB;0.025200000000
01/06/2025;01/06/2025;"YouTube Official Content";Ukraine;thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";"МЫ СТРЕЛЯЕМ";3617393518738;FR-96X-25-63258;;"Music Release";Stream;1;RUB;0.124164129865
01/05/2025;01/04/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Kolpachello;"Нескончаемое Пати Со Френдликами";ИЗ;3617393518738;FR-96X-25-63260;;"Music Release";Stream;122;RUB;1.710628740214
